ISSN|Área|Titulo|Estrato|Ano Base
|DIREITO|"IUSTITIA ET SECURITAS" Revista sobre Estudios Jurídicos y Sociales|C |2008
0011-7641|DIREITO|A Defesa Nacional|C |2008
1984-1035|DIREITO|A Leitura: Caderno da Escola Superior de Magistratura do Estado do Pará|C |2008
1516-3210|DIREITO|A&C. Revista de Direito Administrativo & Constitucional (Impresso)|B5|2008
1983-327X|DIREITO|Ab Initio (Niterói)|C |2008
|DIREITO|ABA Section of International Law. International Trade Comitee Newsletter|C |2008
0104-3501|DIREITO|ABECANews (Curitiba)|C |2008
0044-5967|DIREITO|Acta Amazonica (Impresso)|B4|2008
0103-5037|DIREITO|Acta Médica (Porto Alegre)|C |2008
0065-1656|DIREITO|Acta Scientiarum Socialium|B4|2008
1678-488X|DIREITO|Actio (Faculdades Maringá)|C |2008
0001-7965|DIREITO|Ad Marginem|C |2008
0104-8503|DIREITO|ADB (Brasília)|C |2008
1517-6673|DIREITO|ADCOAS Trabalhista (Impresso)|C |2008
|DIREITO|ADV - Advocacia Dinâmica - COAD|C |2008
1980-8224|DIREITO|Adverbum (Campinas)|C |2008
1518-3769|DIREITO|Advir (ASDUERJ)|C |2008
1808-2254|DIREITO|Ágora (Natal)|C |2008
0104-7507|DIREITO|Agora (UNC)|C |2008
1517-5367|DIREITO|Akrópolis (UNIPAR)|C |2008
1518-8728|DIREITO|Alceu (PUCRJ)|B5|2008
1681-5726|DIREITO|Alfa-Redi (Lima)|C |2008
1677-5724|DIREITO|AMAMJUS (Cuiabá)|C |2008
1414-753X|DIREITO|Ambiente e Sociedade (Campinas)|B3|2008
1518-0360|DIREITO|Âmbito Jurídico|C |2008
0277-7126|DIREITO|American Journal of Semiotics|B1|2008
1551-1383|DIREITO|American Review of Political Economy|B1|2008
1807-1090|DIREITO|Amicus Curiae (UNESC)|C |2008
1808-365X|DIREITO|Anais do Congresso Brasileiro de Estomatologia|C |2008
1984-672X|DIREITO|Anais do Seminário Científico Institucional do Curso de Mestrado em Direito|C |2008
1679-401X|DIREITO|Anais do Simpósio Multidisciplinar da USJT (Impresso)|C |2008
0102-9924|DIREITO|Análise Econômica (UFRGS)|B5|2008
0066-3085|DIREITO|Annuaire Français de Droit International|A2|2008
1809-6964|DIREITO|Antídoto (UFG)|C |2008
1414-7378|DIREITO|Antropolítica (UFF)|B2|2008
1679-7523|DIREITO|Anuário ABEDI|C |2008
0102-4302|DIREITO|Anuário Antropológico|B4|2008
1980-9484|DIREITO|Anuário Brasileiro de Direito Internacional|B5|2008
1138-039X|DIREITO|Anuario da Facultade de Dereito da Universidade da Coruña|B4|2008
1510-4974|DIREITO|Anuario de Derecho Constitucional Latinoamericano|B1|2008
1414-5235|DIREITO|Anuário de Literatura (UFSC)|B3|2008
1516-0599|DIREITO|Anuário dos Cursos de Pós-Graduação em Direito (UFPE)|C |2008
0570-4316|DIREITO|Anuario Hispano-Luso-Americano de Derecho Internacional|B5|2008
1138-4824|DIREITO|Anuario Iberoamericano de Justicia Constitucional|B4|2008
0188-0837|DIREITO|Anuario Mexicano de Historia del Derecho|B1|2008
2176-0934|DIREITO|Anuário Unesco/Metodista de Comunicação Regional|C |2008
1679-9097|DIREITO|Anuário Verbita (Juiz de Fora)|C |2008
1676-9511|DIREITO|Aporia Jurídica|C |2008
1808-5733|DIREITO|Aquinate (Niterói)|C |2008
0328-3151|DIREITO|Archivos del Presente|C |2008
1676-2800|DIREITO|Argumenta (FUNDINOPI)|B4|2008
1677-809X|DIREITO|Argumentum (UNIMAR)|C |2008
0103-9253|DIREITO|Ariús: Revista de Ciências Humanas e Artes (UFCG)|B3|2008
0004-2749|DIREITO|Arquivos Brasileiros de Oftalmologia (Impresso)|C |2008
1516-814X|DIREITO|Arquivos de Direito|C |2008
1517-5987|DIREITO|Arquivos de Direitos Humanos (Rio de Janeiro)|C |2008
0188-5782|DIREITO|Ars Iuris|C |2008
0001-2343|DIREITO|ARSP. Archiv fur Rechts- und Sozialphilosophie|A1|2008
1807-569X|DIREITO|Arte Jurídica (Universidade de Londrina)|C |2008
1982-7946|DIREITO|Artigos Jurídicos|C |2008
1806-2857|DIREITO|Asa-Palavra (Brumadinho)|C |2008
1980-0452|DIREITO|Atena (IESB. Impresso)|C |2008
0392-1336|DIREITO|Atti - Istituto Veneto di Scienze, Lettere ed Arti. Classe di Scienze Morali, Lettere ed Arti|B5|2008
