ISSN|Área|Titulo|Estrato|Ano Base
1981-1683|DIREITO|Atuação (Ministério Público Catarinense)|C |2008
1982-890X|DIREITO|Atualidades Jurídicas (Brasília)|C |2008
1807-6998|DIREITO|Atualidades Jurídicas (Jaboticabal)|C |2008
1809-1199|DIREITO|Autêntica (Goiânia)|C |2008
1981-5522|DIREITO|BDA (São Paulo)|B5|2008
1981-5514|DIREITO|BDM (São Paulo. Impresso)|B5|2008
1677-5341|DIREITO|Bem Comum (São Paulo)|C |2008
0300-9084|DIREITO|Biochimie (Paris. Print)|C |2008
1982-1522|DIREITO|Boletim CEDES|C |2008
1676-4781|DIREITO|Boletim Científico da Escola Superior do Ministério Público da União|C |2008
1983-6414|DIREITO|Boletim Clubjus|C |2008
1984-0454|DIREITO|Boletim Conteúdo Jurídico|C |2008
0519-0193|DIREITO|Boletim da Associação dos Advogados de São Paulo|C |2008
0303-9773|DIREITO|Boletim da Faculdade de Direito - Universidade de Coimbra|B1|2008
0870-4260|DIREITO|Boletim de Ciências Económicas|B1|2008
9111-9111|DIREITO|Boletim de Direito Municpal|B5|2008
1808-1118|DIREITO|Boletim do Instituto de Ciências Penais|C |2008
0046-9939|DIREITO|Boletim do Instituto de Pesca (Impresso)|C |2008
1677-437X|DIREITO|Boletim do IRIB em Revista|C |2008
0870-337X|DIREITO|Boletim do Ministério da Justiça|C |2008
1519-3802|DIREITO|Boletim dos Procuradores da República (Impresso)|C |2008
1677-4388|DIREITO|Boletim Eletrônico IRIB-ANOREGSP|C |2008
1676-3661|DIREITO|Boletim IBCCRIM|B5|2008
1807-9008|DIREITO|Boletim Jurídico (Uberaba. Online)|C |2008
1413-960X|DIREITO|Boletim Técnico - EPAGRI|C |2008
0041-8633|DIREITO|Boletín Mexicano de Derecho Comparado|B1|2008
1519-9053|DIREITO|Brathair (Online)|C |2008
0524-4102|DIREITO|Brazil. Tribunal Regional do Trabalho 6. Região. Revista|C |2008
0100-879X|DIREITO|Brazilian Journal of Medical and Biological Research (Impresso)|A2|2008
1415-0158|DIREITO|Brazilian Journal of Population Studies|B1|2008
1464-3529|DIREITO|British Journal of Criminology (Online)|B1|2008
1980-5152|DIREITO|C & C - Ciência & Consciência|C |2008
1414-2937|DIREITO|Caderno Científico do Mestrado e Doutorado em Direito (UGF)|C |2008
0104-0812|DIREITO|Caderno de Estudos Jurídicos|C |2008
1806-5414|DIREITO|Caderno de Pesquisa do Programa de Mestrado Profissionalizante em Gestão de Políticas Públicas (UNIVALI)|C |2008
1676-7411|DIREITO|Caderno Didático Institucional (UNICRUZ)|C |2008
1981-3759|DIREITO|Caderno Virtual (Instituto Brasiliense de Direito Público)|C |2008
1980-329X|DIREITO|Cadernos - Centro Universitário São Camilo|C |2008
1519-0951|DIREITO|Cadernos ADENAUER (São Paulo)|B3|2008
1677-9010|DIREITO|Cadernos Aslegis (Impresso)|C |2008
1518-0395|DIREITO|Cadernos Camilliani|B3|2008
1808-9631|DIREITO|Cadernos CENPEC|C |2008
1982-8977|DIREITO|Cadernos da Escola da Magistratura Regional Federal da 2ª Região|C |2008
1678-2933|DIREITO|Cadernos da Escola de Direito e Relações Internacionais da UniBrasil|C |2008
1676-8450|DIREITO|Cadernos da Escola do Legislativo|C |2008
0104-1096|DIREITO|Cadernos de Ciência & Tecnologia|C |2008
1808-7140|DIREITO|Cadernos de Direito (Maceió)|B5|2008
1676-529X|DIREITO|Cadernos de Direito (UNIMEP)|B5|2008
1981-1233|DIREITO|Cadernos de Direito Processual|C |2008
1517-0128|DIREITO|Cadernos de Ética e Filosofia Política (USP)|B3|2008
1807-2755|DIREITO|Cadernos de Iniciação Científica - Faculdade de Direito de São Bernardo do Campo|C |2008
0100-1574|DIREITO|Cadernos de Pesquisa (Fundação Carlos Chagas. Impresso)|B4|2008
1983-5698|DIREITO|Cadernos de Pesquisa das Faculdades IBTA e Uirapuru Superior|C |2008
1519-4507|DIREITO|Cadernos de Pesquisa em Educação PPGE-UFES|B3|2008
1678-2127|DIREITO|Cadernos de Pos-Graduacao em Direito Politico e Economico|C |2008
1413-6295|DIREITO|Cadernos de Psicanálise (Círculo Psicanalítico/RJ)|B3|2008
0102-311X|DIREITO|Cadernos de Saúde Pública (ENSP. Impresso)|A2|2008
0101-5818|DIREITO|Cadernos de Seguro|C |2008
1808-6780|DIREITO|Cadernos Direito GV|C |2008
1676-143X|DIREITO|Cadernos do Curso de Direito (Teresópolis)|C |2008
1678-5029|DIREITO|Cadernos do Programa de Pós-Graduação em Direito - PPGDir./UFRGS|C |2008
1679-3951|DIREITO|Cadernos EBAPE.BR (FGV)|C |2008
1807-7862|DIREITO|Cadernos IHU em Formação (UNISINOS)|C |2008
1679-0316|DIREITO|Cadernos IHU Idéias (UNISINOS)|C |2008
1806-5449|DIREITO|Cadernos Jurídicos (EPM)|C |2008
1982-4254|DIREITO|Cadernos NAEI|C |2008
0104-8333|DIREITO|Cadernos Pagu (UNICAMP. Impresso)|B1|2008
1518-2347|DIREITO|Cadernos PRODEMAN de Pesquisa|C |2008
1676-6288|DIREITO|Cadernos PROLAM/USP|C |2008
1981-0660|DIREITO|Cadernos UNDB|C |2008
0104-0480|DIREITO|Caesura (ULBRA)|C |2008
0007-974X|DIREITO|Cahiers de Droit (Québec)|B5|2008
0008-0276|DIREITO|Cahiers Internationaux de Sociologie|B1|2008
1678-8990|DIREITO|Caminhos (Rio do Sul)|C |2008
1678-3034|DIREITO|Caminhos (UCG. Impresso)|C |2008
1982-7393|DIREITO|Carta Forense|C |2008
0101-4315|DIREITO|Carta Mensal - Conselho Técnico da Confederação Nacional do Comércio|C |2008
1679-4206|DIREITO|CCJUR em Revista|C |2008
1982-0399|DIREITO|CD Magister|C |2008
0874-1093|DIREITO|CEDOUA (Coimbra)|B5|2008
1518-1200|DIREITO|Cena Internacional (UnB)|C |2008
0103-2380|DIREITO|Chronos|C |2008
1415-8329|DIREITO|Cidadania e Justiça|B5|2008
1806-194X|DIREITO|Ciência & Conhecimento|C |2008
0304-2685|DIREITO|Ciência & Tropico|C |2008
1809-9068|DIREITO|Ciência Criminal|C |2008
0009-6725|DIREITO|Ciência e Cultura|B4|2008
1413-8123|DIREITO|Ciência e Saúde Coletiva (Impresso)|C |2008
1517-1914|DIREITO|Ciência em Movimento (Impresso)|C |2008
0101-8515|DIREITO|Ciência Hoje|B5|2008
0103-1074|DIREITO|Ciencia Juridica|C |2008
1809-8916|DIREITO|Ciência Jurídica (Belo Horizonte)|C |2008
0210-0398|DIREITO|Ciencia Tomista|B5|2008
1679-673X|DIREITO|Ciências Penais|C |2008
1679-348X|DIREITO|Ciências Sociais Aplicadas em Revista (Cascavel. Impresso)|C |2008
1677-9665|DIREITO|Ciências Sociais em Perspectiva (Impresso)|C |2008
1519-6089|DIREITO|Civitas: Revista de Ciências Sociais (Impresso)|B2|2008
1518-7187|DIREITO|Cognitio (PUCSP)|C |2008
1809-8428|DIREITO|Cognitio - Estudos (PUC-SP. Online)|C |2008
1980-9433|DIREITO|Coleção Multitextos|C |2008
0010-4140|DIREITO|Comparative Political Studies|B1|2008
0179-1990|DIREITO|Computer und Recht (Koln)|B4|2008
1521-9615|DIREITO|Computing in Science & Engineering (Print)|B4|2008
1980-5683|DIREITO|ComUni (Uniritter)|C |2008
1677-0943|DIREITO|Conexão (UCS)|C |2008
1808-4699|DIREITO|Conexão Migalhas|C |2008
1981-2574|DIREITO|Confissões Jurídicas (FSA)|C |2008
1678-7145|DIREITO|Confluências (Niterói)|B4|2008
|DIREITO|Congresso de Estudantes de Direito Ambiental|C |2008
1809-3442|DIREITO|Conhecimento Interativo|C |2008
0103-1457|DIREITO|Conjectura: Filosofia e Educação (UCB)|B5|2008
0897-1218|DIREITO|Connecticut Journal of International Law|B1|2008
1980-2390|DIREITO|Consciência Jurídica (UNICS)|C |2008
1983-8646|DIREITO|Constituição & Democracia|C |2008
1676-3637|DIREITO|Construindo o Serviço Social|C |2008
1809-2829|DIREITO|Consultor Jurídico (São Paulo. Online)|C |2008
1698-2320|DIREITO|Consultor. Jurídico (Madrid)|C |2008
0102-8529|DIREITO|Contexto Internacional (PUCRJ. Impresso)|B1|2008
1806-0579|DIREITO|Contexto Radial (São Paulo)|C |2008
1760-2483|DIREITO|Contrats Publics|C |2008
1870-0365|DIREITO|Contribuciones desde Coatepec|B3|2008
1808-5253|DIREITO|Controvérsia (UNISINOS)|C |2008
0010-8812|DIREITO|Cornell International Law Journal|A2|2008
1161-8043|DIREITO|Courrier de la Planète|C |2008
1657-3978|DIREITO|Criterio Juridico|C |2008
1413-4004|DIREITO|Crítica (UEL)|C |2008
0188-3968|DIREITO|Crítica Jurídica|B5|2008
1981-2140|DIREITO|CSOnline (UFJF)|C |2008
0327-3776|DIREITO|Cuadernos de Antropología Social (Impresa)|B1|2008
0328-8390|DIREITO|Cuadernos de Bioética (Buenos Aires)|B5|2008
1414-7076|DIREITO|Cult (São Paulo)|C |2008
0870-4546|DIREITO|Cultura (Lisboa)|B4|2008
0011-5258|DIREITO|Dados (Rio de Janeiro. Impresso)|A1|2008
1806-6186|DIREITO|Datadez (Sapucaia do Sul, RS)|C |2008
1809-8487|DIREITO|De Jure (Belo Horizonte)|C |2008
1677-8146|DIREITO|Debates em Direito Público|C |2008
1980-2870|DIREITO|Decita (Fundação Boiteux)|C |2008
1981-7649|DIREITO|Del Rey Jurídica|C |2008
1519-5880|DIREITO|Depoimentos: Revista da Faculdade de Direito de Vitória|B4|2008
0038-884X|DIREITO|Der Staat|A1|2008
0304-2820|DIREITO|Derecho y Reforma Agraria|C |2008
1806-9363|DIREITO|Desafios do Desenvolvimento|C |2008
1678-4855|DIREITO|Desenvolvimento em Questão|C |2008
1678-2461|DIREITO|Destaque Jurídico|C |2008
1519-3640|DIREITO|Diálogo (Canoas)|C |2008
1677-2601|DIREITO|Diálogo Jurídico (Fortaleza. 2002)|C |2008
1984-3135|DIREITO|Diálogos pelo Desenvolvimento|C |2008
1415-4986|DIREITO|Diário Catarinense|C |2008
1677-7034|DIREITO|Diário da Justiça. Seção 3 (Online)|C |2008
0101-4218|DIREITO|Digesto Econômico|C |2008
1756-4611|DIREITO|Digital Evidence and Electronic Signature Law Review|B5|2008
1984-0888|DIREITO|Direito & Deriva|C |2008
0100-9079|DIREITO|Direito & Justiça (Porto Alegre. Impresso)|B5|2008
1518-7047|DIREITO|Direito & Paz|B5|2008
1518-1685|DIREITO|Direito e Democracia (ULBRA)|B5|2008
0871-0376|DIREITO|Direito e Justiça (Lisboa)|C |2008
1676-8558|DIREITO|Direito e Justiça (URI)|B5|2008
1980-0878|DIREITO|Direito e Sociedade (Catanduva)|C |2008
1518-8736|DIREITO|Direito e Sociedade (Curitiba)|C |2008
0103-9040|DIREITO|Direito em Debate|C |2008
1676-0700|DIREITO|Direito em Revista (Francisco Beltrão)|C |2008
1678-0779|DIREITO|Direito em Revista (Rolândia)|C |2008
1676-2320|DIREITO|Direito Federal|C |2008
1981-3414|DIREITO|Direito Militar|C |2008
1517-0748|DIREITO|Direito Público (Belo Horizonte)|C |2008
1806-8200|DIREITO|Direito Público (Porto Alegre)|C |2008
1983-1412|DIREITO|Direito Reflexivo|C |2008
1415-8124|DIREITO|Direito Tributário Atual|C |2008
1983-2990|DIREITO|Direito Tributário em Questão|C |2008
1808-4435|DIREITO|Direito UNIFACS|C |2008
1516-6104|DIREITO|Direito, Estado e Sociedade (Impresso)|B3|2008
1980-7805|DIREITO|Direitos Culturais|B5|2008
1982-1921|DIREITO|Direitos Fundamentais & Justiça|B2|2008
1127-8579|DIREITO|Diritto & Diritti|B4|2008
1594-199X|DIREITO|Diritto e Pratica Tributaria Internazionale|B5|2008
1982-5412|DIREITO|Discurso Jurídico|C |2008
1413-988X|DIREITO|Discursos Sediciosos (Rio de Janeiro)|B4|2008
1413-9448|DIREITO|Dissertatio (UFPel)|C |2008
0870-8002|DIREITO|Documentação e Direito Comparado|C |2008
1518-3807|DIREITO|Documentos - Corpo Freudiano do Rio de Janeiro, Escola de Psicanálise|B4|2008
1807-3883|DIREITO|Dois Pontos (UFPR)|B5|2008
1678-7889|DIREITO|Dominium (Natal)|C |2008
1981-1489|DIREITO|Doutrinas Jurídicas|C |2008
0214-8676|DIREITO|Doxa (Alicante)|A2|2008
0769-3362|DIREITO|Droit et Société (Paris. 1985)|A1|2008
1982-0402|DIREITO|DVD Magister|C |2008
1982-3649|DIREITO|E-Lex Revista|C |2008
1983-0181|DIREITO|E-Revista: Questões Municipais (Vila Velha)|C |2008
1130-6378|DIREITO|Ecología Política|C |2008
1166-3030|DIREITO|Ecologie Politique|B2|2008
1413-8050|DIREITO|Economia Aplicada (Impresso)|B2|2008
1405-8421|DIREITO|Economía, Sociedad y Territorio|B2|2008
0101-7330|DIREITO|Educação & Sociedade (Impresso)|B1|2008
0101-9031|DIREITO|Educação (UFSM)|B5|2008
1516-2958|DIREITO|Educação e Cidadania|C |2008
1517-9702|DIREITO|Educação e Pesquisa (USP. Impresso)|B1|2008
0100-3143|DIREITO|Educação e Realidade|B1|2008
1806-7123|DIREITO|Educação em Revista (Porto Alegre)|C |2008
1809-4295|DIREITO|Educando (Porto Alegre)|C |2008
1519-0099|DIREITO|Educere (Umuarama. Impresso)|C |2008
0210-0088|DIREITO|El Basilisco (Oviedo)|B5|2008
1666-8987|DIREITO|El Derecho (Buenos Aires)|C |2008
0122-2252|DIREITO|El Otro Derecho|B4|2008
0871-7451|DIREITO|Eleições (Lisboa)|B5|2008
0101-1723|DIREITO|Ensaios FEE (Impresso)|B4|2008
1516-6198|DIREITO|Ensino Superior (ABMES)|C |2008
1519-5406|DIREITO|Entrelinhas (UEL)|C |2008
0378-777X|DIREITO|Environmental Policy and Law|B1|2008
0104-8910|DIREITO|EPGE Ensaios Economicos (FGV/RJ)|C |2008
1669-4031|DIREITO|Equipo Federal del Trabajo|B4|2008
1981-7738|DIREITO|Esfera Jurídica|C |2008
1982-6524|DIREITO|Espaço Ameríndio (UFRGS)|C |2008
1519-5899|DIREITO|Espaço Jurídico|C |2008
1809-1296|DIREITO|Esporte e Sociedade|B5|2008
1809-9874|DIREITO|Estado de Minas|C |2008
1578-4479|DIREITO|Estudios Económicos de Desarrollo Internacional|B1|2008
1415-8108|DIREITO|Estudos (Marília)|B5|2008
0103-4014|DIREITO|Estudos Avançados (USP. Impresso)|B1|2008
1982-4882|DIREITO|Estudos de Direito Cooperativo e Cidadania (UFPR. Impresso)|C |2008
1413-294X|DIREITO|Estudos de Psicologia (UFRN)|C |2008
1414-0144|DIREITO|Estudos de Sociologia (São Paulo)|B2|2008
1413-4128|DIREITO|Estudos do CEPE (UNISC)|C |2008
0101-4161|DIREITO|Estudos Econômicos (São Paulo. Impresso)|B4|2008
0103-6831|DIREITO|Estudos em Avaliação Educacional (Impresso)|B5|2008
1806-6496|DIREITO|Estudos em Jornalismo e Mídia (UFSC)|C |2008
1982-9124|DIREITO|Estudos Filosóficos (Impresso)|B5|2008
0101-4064|DIREITO|Estudos Ibero-Americanos (PUCRS. Impresso)|C |2008
1517-2473|DIREITO|Estudos Interdisciplinares sobre o Envelhecimento|B3|2008
0100-2538|DIREITO|Estudos Jurídicos (UNISINOS)|C |2008
1677-2954|DIREITO|Ethic@ (UFSC)|B5|2008
1413-8093|DIREITO|Ethica (UGF)|C |2008
1414-3917|DIREITO|Ética e Filosofia Política|B5|2008
0304-4130|DIREITO|European Journal of Political Research|A2|2008
1980-6434|DIREITO|Evocati Revista|C |2008
1982-4432|DIREITO|Extensão em Foco (Curitiba)|C |2008
1981-5948|DIREITO|FACIentífica|C |2008
1819-3889|DIREITO|FamZ (Wien)|A2|2008
1809-9238|DIREITO|Filosofia (São Paulo)|B5|2008
1519-5023|DIREITO|Filosofia Unisinos (Impresso)|B1|2008
1678-9555|DIREITO|FISCOSoft|C |2008
1518-6652|DIREITO|FMU Direito|C |2008
1808-0715|DIREITO|Fonte (Belo Horizonte)|C |2008
1390-2466|DIREITO|Foro (Quito)|C |2008
1678-8648|DIREITO|Fórum Administrativo|B5|2008
1980-0827|DIREITO|Fórum Ambiental da Alta Paulista|C |2008
1676-5826|DIREITO|Fórum de Contratação e Gestão Pública (Impresso)|C |2008
1678-8656|DIREITO|Fórum de Direito Tributário|C |2008
1676-6962|DIREITO|Fórum de Direito Urbano e Ambiental (Impresso)|B5|2008
1414-9494|DIREITO|Fragmentos de Cultura (Goiânia)|C |2008
1808-7167|DIREITO|Gazeta de Alagoas (Impresso)|C |2008
1676-8744|DIREITO|Genesis. Revista de Direito do Trabalho|B4|2008
1676-8736|DIREITO|Genesis. Revista de Direito Processual Civil|C |2008
1808-8058|DIREITO|Geografias (UFMG)|B4|2008
1083-1894|DIREITO|German American Law Journal|B5|2008
1809-0214|DIREITO|Gestão Contemporânea (FAPA)|C |2008
1807-5436|DIREITO|Gestão e Desenvolvimento (FEEVALE)|C |2008
1980-5780|DIREITO|Getulio (FGV)|C |2008
1676-2819|DIREITO|Global Manager (FSG)|B5|2008
1984-588X|DIREITO|Governet. Boletim de Convênios e Parcerias|C |2008
1809-6646|DIREITO|Governet. Boletim de Licitações e Contratos|C |2008
1809-6662|DIREITO|Governet. Boletim do Legislativo|C |2008
1809-6689|DIREITO|Governet. Boletim Recursos Humanos|C |2008
1806-8979|DIREITO|GV Executivo|C |2008
1679-9321|DIREITO|Hiléia (UEA)|C |2008
1980-4369|DIREITO|História (São Paulo. Online)|B4|2008
1576-4729|DIREITO|Historia Constitucional (Oviedo)|B3|2008
0104-5970|DIREITO|História, Ciências, Saúde-Manguinhos (Impresso)|B2|2008
1808-9895|DIREITO|História, Imagem e Narrativas|B4|2008
1465-4466|DIREITO|Historical Materialism|B3|2008
1519-8634|DIREITO|HOLOS Environment (Online)|B5|2008
1677-440X|DIREITO|Horizonte Teológico|C |2008
1413-0718|DIREITO|Humanas (UFRGS)|C |2008
0102-9479|DIREITO|Humanidades (Brasília)|C |2008
0937-5414|DIREITO|Humanitares Volkerrecht|B2|2008
1518-4935|DIREITO|Humanitas (Palmas)|C |2008
0104-9585|DIREITO|Humanitas (UFPA)|B5|2008
1390-1249|DIREITO|Íconos (Quito)|C |2008
0101-3106|DIREITO|Ide (São Paulo. Impresso)|B5|2008
1677-1206|DIREITO|Igualdade (Ministério Público do Estado do Paraná)|C |2008
1981-8769|DIREITO|IHU On-Line (UNISINOS. Impresso)|C |2008
1593-5795|DIREITO|II Diritto dell'Informazione e dell'Informatica (Testo Stampato)|B5|2008
1828-311X|DIREITO|Il Giusto Processo Civile|C |2008
0262-8856|DIREITO|Image and Vision Computing|B5|2008
0103-7676|DIREITO|Impulso (Piracicaba)|C |2008
1678-8427|DIREITO|In Verbis (Rio de Janeiro)|C |2008
1808-8392|DIREITO|Inclusão Social (Impresso)|B5|2008
1808-8678|DIREITO|Inclusão Social (Online)|C |2008
1518-1243|DIREITO|Iniciação Científica - CESUMAR|C |2008
1517-6940|DIREITO|Insight Inteligência (Rio de Janeiro)|C |2008
|DIREITO|Instituto O Direito por um planeta verde|C |2008
1981-3015|DIREITO|IntegrAção (FGV)|C |2008
1413-6147|DIREITO|Integração (USJT)|C |2008
1676-7640|DIREITO|Intellèctus (UERJ. Online)|C |2008
1808-2831|DIREITO|Inter Relações (São Paulo. Impresso)|C |2008
1519-8847|DIREITO|Interagir (UERJ)|B5|2008
0034-9690|DIREITO|Interamerican Journal of Psychology|C |2008
1677-9932|DIREITO|Interativo em Revista|C |2008
1677-356X|DIREITO|Intercivitas (São Paulo)|C |2008
1676-8701|DIREITO|Interesse Público (Impresso)|B5|2008
1806-9037|DIREITO|Interface (Natal)|C |2008
1980-0894|DIREITO|InterfacEHS (Ed. português)|C |2008
1519-0994|DIREITO|Interfaces Brasil/Canadá (Impresso)|C |2008
1063-083X|DIREITO|International Enforcement Law Reporter|C |2008
1091-5710|DIREITO|International Journal for Human Caring|C |2008
0952-8059|DIREITO|International Journal for the Semiotics of Law|A1|2008
1861-1303|DIREITO|International Journal of Action Research|B5|2008
1478-9655|DIREITO|International Journal of Intellectual Property Management (Online)|B3|2008
1478-9647|DIREITO|International Journal of Intellectual Property Management (Print)|B3|2008
1741-6434|DIREITO|International Journal of Liability and Scientific Enquiry (Online)|B5|2008
1741-6426|DIREITO|International Journal of Liability and Scientific Enquiry (Print)|B5|2008
1692-8156|DIREITO|International Law (Bogota 2003)|B5|2008
1360-0869|DIREITO|International Review of Law Computers & Technology|B3|2008
1516-8158|DIREITO|Intertemas (Presidente Prudente. Impresso)|B5|2008
1807-1384|DIREITO|INTERthesis (Florianópolis)|B4|2008
1027-3115|DIREITO|IOBC/WPRS Bulletin|C |2008
1099-999X|DIREITO|IOMA's Report on Managing HR Information Systems|C |2008
1018-4783|DIREITO|ISSN Compact: CD-ROM edition of the ISSN Register|C |2008
1676-0379|DIREITO|ITEC Ciência|C |2008
1980-3583|DIREITO|Iure-Mail (Fortaleza)|C |2008
1994-702X|DIREITO|Iuris Omnes|C |2008
0718-0012|DIREITO|Ius et Praxis (En línea)|C |2008
0717-2877|DIREITO|Ius et Praxis (Impresa)|C |2008
1981-8033|DIREITO|Ius Gentium (Facinter)|C |2008
1983-8638|DIREITO|Ius Gentium (Florianópolis)|C |2008
0720-6356|DIREITO|JA. Juristische Arbeitsblatter (1977)|B2|2008
0075-2517|DIREITO|Jahrbuch des Offentlichen Rechts der Gegenwart|A1|2008
1806-1346|DIREITO|JAM Jurídica (Salvador)|C |2008
0047-2085|DIREITO|Jornal Brasileiro de Psiquiatria (UFRJ. Impresso)|B5|2008
1517-5693|DIREITO|Jornal Brasileiro de Reprodução Assistida (Impresso)|C |2008
1980-4288|DIREITO|Jornal Jurid Digital|C |2008
1255-7382|DIREITO|Journal des Enfants de Claix|C |2008
0021-8170|DIREITO|Journal du Droit International|B5|2008
1287-7352|DIREITO|Journal International de Bioéthique (1998)|B1|2008
0255-8106|DIREITO|Journal of International Arbitration|B3|2008
0022-216X|DIREITO|Journal of Latin American Studies (Print)|B1|2008
1357-2334|DIREITO|Journal of Legislative Studies|B5|2008
0022-2267|DIREITO|Journal of Linguistics (Print)|B1|2008
0305-7240|DIREITO|Journal of Moral Education|B2|2008
0104-9631|DIREITO|Journal of Solid-State Devices and Circuits|B4|2008
0948-695X|DIREITO|Journal of Universal Computer Science (Print)|B3|2008
1011-6702|DIREITO|Journal of World Trade|A2|2008
1807-0957|DIREITO|Juizado da Infância e da Juventude (Porto Alegre)|C |2008
1826-8269|DIREITO|Jura Gentium.|C |2008
1413-3571|DIREITO|Juris (FURG)|C |2008
1807-6017|DIREITO|Juris Plenum|C |2008
1808-5725|DIREITO|Juris Plenum Trabalhista e Previdenciária|C |2008
1980-9131|DIREITO|Juris Rationis (UnP)|C |2008
1516-6635|DIREITO|Jurispoiesis (Rio de Janeiro)|B3|2008
0102-5600|DIREITO|Jurisprudência Brasileira|C |2008
0104-2068|DIREITO|Jurisprudencia do Tribunal de Justica|C |2008
0022-684X|DIREITO|Jurisprudência e Doctrina|C |2008
1983-1145|DIREITO|Jurisprudência em Revista|C |2008
1516-778X|DIREITO|Jurisvox (Patos de Minas)|C |2008
1518-4862|DIREITO|Jus Navigandi|C |2008
1676-5834|DIREITO|Justiça & História (Impresso)|B4|2008
1413-7038|DIREITO|Justiça do Direito (UPF)|C |2008
0103-5487|DIREITO|Justiça do Trabalho|B5|2008
