ISSN|Área|Titulo|Estrato|Ano Base
1678-8621|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Ambiente Construído (Online)|B2|2008
1415-8876|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Ambiente Construído (São Paulo. Impresso)|B2|2008
1982-1212|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|América (São Paulo)|C |2008
1584-0972|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Analele Universitatii "Eftimie Murgu" Resita. Fascicola II, Facultatea de Stiinte Economice si Administrative|C |2008
1516-2680|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Análise (PUCRS)|B4|2008
1980-6302|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Análise (PUCRS. Online)|B4|2008
0102-9924|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Análise Econômica (UFRGS)|B3|2008
1677-907X|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Animus (Santa Maria)|B4|2008
0702-8997|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Anthropologie et Sociétés|B2|2008
1807-1589|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Anualpec (São Paulo)|C |2008
1982-3169|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Anuário da Produção Acadêmica Docente (Anhanguera Educacional. Valinhos)|C |2008
0003-6846|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Applied Economics (Print)|A2|2008
1350-4851|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Applied Economics Letters (Print)|A2|2008
1204-6140|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Applied Semiotics (Online)|B2|2008
1524-1904|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Applied Stochastic Models in Business and Industry (Print)|A2|2008
1096-2492|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Arizona Journal of Hispanic Cultural Studies|C |2008
0717-6996|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|ARQ (Santiago. En línea)|B1|2008
1809-6298|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Arquitextos (São Paulo)|C |2008
1809-5267|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Arquivos Brasileiros de Psicologia (UFRJ. 2003)|C |2008
1976-1597|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Asian Journal of Technology Innovation (Seoul)|B2|2008
1414-4077|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Avaliação (UNICAMP)|B1|2008
1516-3105|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Avicultura Industrial (Porto Feliz. Impresso)|C |2008
1414-2368|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Bahia Agrícola|C |2008
0103-8117|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Bahia Analise & Dados|B3|2008
1807-7692|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|BAR. Brazilian Administration Review|A2|2008
1807-054X|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Base (UNISINOS)|B2|2008
1807-734X|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|BBR. Brazilian Business Review (Edição em português. Online)|B2|2008
1808-2386|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|BBR. Brazilian Business Review (English Edition. Online)|B2|2008
1981-5514|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|BDM (São Paulo. Impresso)|C |2008
0140-525X|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Behavioral and Brain Sciences (Print)|A1|2008
1575-5886|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|BiD. Textos Universitaris de Biblioteconomia i Documentació|B2|2008
1518-1812|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|BIS. Boletim do Instituto de Saúde (Impresso)|C |2008
1981-6731|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Boletim NEIT|C |2008
0328-4069|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Boletín de Reseñas Bibliográficas|C |2008
0103-9288|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Brasil em Numeros|C |2008
0102-4728|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Brasil Mineral (São Paulo)|C |2008
1981-3821|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Brazilian Political Science Review|B1|2008
0007-070X|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|British Food Journal (1966)|A1|2008
0007-1315|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|British Journal of Sociology (Print)|A1|2008
1184-8774|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Bulletin de la SDIE (Cessou em 1995. Cont. ISSN 0838-9667 Information SDIE)|C |2008
0964-4733|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Business Strategy and the Environment|A2|2008
0103-4979|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Caderno CRH (UFBA. Impresso)|B3|2008
1516-1803|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Caderno de Administração (UEM)|C |2008
1809-1644|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Caderno de Gestão & Regionalidade|C |2008
1679-3501|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Caderno de Idéias|C |2008
1806-5414|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Caderno de Pesquisa do Programa de Mestrado Profissionalizante em Gestão de Políticas Públicas (UNIVALI)|C |2008
1677-6976|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Caderno Virtual de Turismo (UFRJ)|B4|2008
1980-0916|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Caderno.com|C |2008
0104-1495|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Cadernos da FCECA (PUCCAMP)|B5|2008
1983-5582|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Cadernos de Administração (Macaé)|C |2008
1646-7280|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Cadernos de Pedagogia Social|C |2008
0102-311X|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Cadernos de Saúde Pública (ENSP. Impresso)|A1|2008
1679-3951|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Cadernos EBAPE.BR (FGV)|B1|2008
1806-2261|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Cadernos Gestão Pública e Cidadania|B5|2008
1982-5447|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Cadernos Gestão Social|C |2008
1517-2422|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Cadernos Metrópole (PUCSP)|B2|2008
1676-6288|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Cadernos PROLAM/USP|B2|2008
0840-853X|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Cahier de Recherche - HEC Montréal. Chaire d?entrepreneuriat Rogers-J.-A.-Bombardier|C |2008
1678-3034|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Caminhos (UCG. Impresso)|C |2008
1517-3038|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Caminhos (UFMG)|C |2008
0008-3976|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Canadian Journal of Agricultural Economics|A1|2008
0008-4107|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Canadian Journal of History|B1|2008
0826-3663|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Canadian Journal of Latin American and Caribbean Studies|A2|2008
0825-0383|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Canadian Journal of the Administrative Sciences|A2|2008
1362-0436|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Career Development International|A2|2008
1808-6012|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Carta Capital na Escola|C |2008
1518-1200|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Cena Internacional (UnB)|C |2008
1435-246X|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Central European Journal of Operations Research|A2|2008
0104-7760|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|CERNE (UFLA)|A2|2008
1678-4561|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Ciência & Saúde Coletiva (Online)|A2|2008
0100-1965|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Ciência da Informação (Impresso)|A2|2008
1413-7054|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Ciência e Agrotecnologia (UFLA)|B1|2008
0009-6725|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Ciência e Cultura|C |2008
0100-8307|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Ciência e Natura|B3|2008
1413-8123|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Ciência e Saúde Coletiva (Impresso)|A2|2008
1679-348X|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Ciências Sociais Aplicadas em Revista (Cascavel. Impresso)|C |2008
1677-9665|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Ciências Sociais em Perspectiva (Impresso)|B5|2008
1519-7050|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Ciências Sociais Unisinos|B3|2008
1519-6089|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Civitas: Revista de Ciências Sociais (Impresso)|B3|2008
1809-6875|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Coffee Science|B5|2008
0364-0213|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Cognitive Science|A1|2008
1519-8529|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Colabor@ (Curitiba)|C |2008
1519-7654|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|ComCiência (UNICAMP)|C |2008
1676-3475|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Communicare (São Paulo)|C |2008
1532-4141|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Communications in Statistics: Simulation and Computation|A2|2008
1984-2880|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Competência (Porto Alegre)|C |2008
1024-5294|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Competition & Change|B1|2008
0872-9662|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Comportamento Organizacional e Gestão|B1|2008
|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Compras Públicas|C |2008
0167-9473|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Computational Statistics & Data Analysis (Print)|A1|2008
0305-0548|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Computers & Operations Research|A1|2008
0101-305X|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Comum (FACHA)|B4|2008
0102-6925|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Comunicação & Política|B2|2008
0101-2657|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Comunicação & Sociedade|B3|2008
1980-0584|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Comunicação em Ciências da Saúde (Impresso)|B5|2008
1806-4981|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Comunicação, Mídia e Consumo (São Paulo. Impresso)|B2|2008
1532-0626|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Concurrency and Computation|A1|2008
1413-1536|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Conjuntura & Planejamento|B4|2008
0010-5945|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Conjuntura Economica (Rio de Janeiro)|C |2008
1645-6564|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Cons-Ciências (Porto)|C |2008
0144-6193|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Construction Management & Economics (Print)|A2|2008
1992-1896|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Contabilidad y Negocios|C |2008
0103-734X|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Contabilidade Vista & Revista|B3|2008
1984-3925|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Contabilidade, Gestão e Governança|C |2008
0102-8529|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Contexto Internacional (PUCRJ. Impresso)|B1|2008
1678-2089|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Contextus (Fortaleza)|B4|2008
1984-7114|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Contrapontos (Online)|B4|2008
1727-9232|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Corporate Ownership & Control (Print)|B2|2008
1363-3589|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Corporate Reputation Review|B1|2008
1742-2043|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Critical Perspectives on International Business|A2|2008
1518-0689|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Cronos (Natal. Impresso)|B5|2008
1139-7861|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Cuadernos de Turismo|B2|2008
1666-5112|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Cuadernos del CIMBAGE|C |2008
1982-5838|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Cultur: Revista de Cultura e Turismo|C |2008
1981-6030|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Custo Brasil|C |2008
1808-2882|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Custos e @gronegócio Online|B4|2008
0011-5258|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Dados (Rio de Janeiro. Impresso)|A2|2008
1517-3801|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Datagramazero (Rio de Janeiro)|B3|2008
1545-8490|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Decision Analysis|B2|2008
0328-0101|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Delito y Sociedad|B2|2008
1678-1821|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Desafio (Campo Grande)|C |2008
1806-9363|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Desafios do Desenvolvimento|C |2008
1518-952X|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Desenvolvimento e Meio Ambiente (UFPR)|B5|2008
1678-4855|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Desenvolvimento em Questão|B3|2008
1982-3894|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Desigualdade & Diversidade (PUCRJ)|B5|2008
1981-0970|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Dialogando no Turismo (UNESP. Rosana)|C |2008
1677-7069|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Diário Oficial da União. Seção 3 (Online)|C |2008
1750-5933|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Direct Marketing (Print)|B1|2008
1516-6104|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Direito, Estado e Sociedade (Impresso)|B4|2008
1676-0867|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Dissertar (Rio de Janeiro)|C |2008
0103-4383|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Divulgacao em Saude para Debate|B3|2008
1980-8380|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Dom (Fundação Dom Cabral)|C |2008
0012-7353|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|DYNA (Medellín)|B1|2008
1982-4866|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Dynamis (FURB. Online)|C |2008
1984-2716|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|E-Civitas (Belo Horizonte)|C |2008
0104-6160|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Eco (UFRJ)|B4|2008
0921-8009|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Ecological Economics (Amsterdam)|A1|2008
1518-2932|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Economia & Energia (Online)|C |2008
1517-7580|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Economia (Brasília)|B3|2008
1529-7470|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Economía (Washington, D.C.)|B3|2008
1413-8050|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Economia Aplicada (Impresso)|A2|2008
0717-7135|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Economía Crítica y Desarrollo|C |2008
0104-0618|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Economia e Sociedade (UNICAMP. Impresso)|B1|2008
0102-2482|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Economia Ensaios (UFU. Impresso)|C |2008
0873-7444|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Economia Global e Gestão|B1|2008
1665-952X|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Economia UNAM|C |2008
0095-2583|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Economic Inquiry|A1|2008
0013-0133|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Economic Journal (London. Print)|A1|2008
0013-0419|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Económica (La Plata)|C |2008
1545-2921|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Economics Bulletin|A2|2008
0165-1765|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Economics Letters|A2|2008
1678-0701|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Educação Ambiental em Ação|B4|2008
1517-9702|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Educação e Pesquisa (USP. Impresso)|B1|2008
1809-1830|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Educação em Foco (Belo Horizonte. 2005)|C |2008
0102-4698|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Educação em Revista (UFMG. Impresso)|B1|2008
0120-677X|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Educacion Fisica y Deporte|B4|2008
0104-4060|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Educar em Revista (Impresso)|B1|2008
1809-0079|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Egesta (UNISANTOS)|B5|2008
1679-4508|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Einstein (São Paulo)|B2|2008
1239-2685|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|EJBO. Electronic Journal of Business and Organization Ethics|B2|2008
1740-7494|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Electronic Government|A1|2008
1806-1877|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Eletroevolução (Rio de Janeiro)|C |2008
0922-3444|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Elsevier (Amsterdam)|C |2008
1806-5864|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Em Foco (Santarém)|B5|2008
1807-8893|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Em Questão (UFRGS. Impresso)|B4|2008
1521-3250|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Emergence (Mahwah, N.J.)|B1|2008
1540-496X|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Emerging Markets Finance & Trade|A2|2008
1566-0141|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Emerging Markets Review|A2|2008
1518-2924|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Encontros Bibli|B3|2008
1695-6141|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Enfermería Global|B1|2008
1517-9087|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Enfoque: Reflexão Contábil (Impresso)|B5|2008
1413-4152|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Engenharia Sanitária e Ambiental|A2|2008
1415-7314|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Engevista (UFF)|B4|2008
1042-9247|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Engineering Management Journal|A2|2008
0104-4036|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Ensaio (Fundação Cesgranrio. Impresso)|B1|2008
|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Ensaio Avaliação e Políticas Públicas em Educação|A2|2008
0101-1723|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Ensaios FEE (Impresso)|B1|2008
1387-585X|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Environment, Development and Sustainability|A2|2008
0104-8910|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|EPGE Ensaios Economicos (FGV/RJ)|C |2008
1414-8145|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Escola Anna Nery|B2|2008
0798-1015|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Espacios (Caracas)|B1|2008
1516-6406|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Essentia (Sobral/CE)|C |2008
0717-6759|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Estado, Gobierno, Gestión Pública (Impresa)|C |2008
0327-5841|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Estudios y Perspectivas en Turismo|B1|2008
0104-7132|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Estudo & Debate (UNIVATES. Impresso)|B5|2008
