ISSN|Área|Titulo|Estrato|Ano Base
1981-030X|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|19&20 (Rio de Janeiro)|B5|2008
1676-2916|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|404notf0und (UFBA)|C |2008
0104-7922|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|A Agua em Revista|B5|2008
1413-6090|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|A Economia em Revista|B5|2008
1980-4814|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|ABCustos (São Leopoldo, RS)|B5|2008
1012-8255|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Academia (Caracas)|B1|2008
0001-4273|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Academy of Management Journal|A1|2008
1677-8855|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Achegas.net|B3|2008
0103-2100|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Acta Paulista de Enfermagem (UNIFESP. Impresso)|B1|2008
1850-2032|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Actas de Diseño|C |2008
0994-4524|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Actuel Marx|B1|2008
1518-9929|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Adm. MADE (Universidade Estácio de Sá)|B5|2008
1676-9457|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Administração de Empresas em Revista|C |2008
1516-5779|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Administração em Diálogo|C |2008
0098-9258|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Advances in Consumer Research|C |2008
1382-4996|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Advances in Health Sciences Education|A1|2008
1983-8611|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Advances in Scientific and Applied Accounting|C |2008
1983-005X|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Agitprop (São Paulo)|C |2008
1984-252X|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Agrarian (Dourados. Impresso)|C |2008
1316-0354|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Agroalimentaria (Caracas)|B1|2008
0100-4298|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Agroanalysis (FGV)|C |2008
1518-8728|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Alceu (PUCRJ)|C |2008
1807-6211|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Aleph (UFF. Online)|C |2008
1413-0394|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Aletheia (ULBRA)|B1|2008
0065-6275|ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO|Aliso (Rancho Santa Ana Botanic Garden)|C |2008
