issn|area|titulo|estrato|classificacao
0003-4347|CIÊNCIA DA COMPUTAÇÃO|Annales des Telecommunications|B3|Atualizada em 2012
0218-0006|CIÊNCIA DA COMPUTAÇÃO|Annals of Combinatorics (Print)|B3|Atualizada em 2012
1012-2443|CIÊNCIA DA COMPUTAÇÃO|Annals of Mathematics and Artificial Intelligence|B1|Atualizada em 2012
1573-7470|CIÊNCIA DA COMPUTAÇÃO|Annals of Mathematics and Artificial Intelligence (Dordrecht. Online)|B1|Atualizada em 2012
0254-5330|CIÊNCIA DA COMPUTAÇÃO|Annals of Operation Research|A2|Atualizada em 2012
1572-9338|CIÊNCIA DA COMPUTAÇÃO|Annals of Operations Research (Dordrecht. Online)|A2|Atualizada em 2012
0168-0072|CIÊNCIA DA COMPUTAÇÃO|Annals of Pure and Applied Logic (Print)|B1|Atualizada em 2012
1022-7091|CIÊNCIA DA COMPUTAÇÃO|Annals of Software Engineering|A2|Atualizada em 2012
1573-7489|CIÊNCIA DA COMPUTAÇÃO|Annals of Software Engineering (Dordrecht. Online)|A2|Atualizada em 2012
0090-5364|CIÊNCIA DA COMPUTAÇÃO|Annals of Statistics|B2|Atualizada em 2012
1550-8382|CIÊNCIA DA COMPUTAÇÃO|Annual Review of Information Science and Technology (Online)|B1|Atualizada em 2012
0066-4286|CIÊNCIA DA COMPUTAÇÃO|Annual Review of Phytopathology (Print)|B1|Atualizada em 2012
1367-5788|CIÊNCIA DA COMPUTAÇÃO|Annual Reviews in Control|B2|Atualizada em 2012
0918-7960|CIÊNCIA DA COMPUTAÇÃO|Anthropological Science|B3|Atualizada em 2012
0195-6663|CIÊNCIA DA COMPUTAÇÃO|Appetite (London. Print)|B2|Atualizada em 2012
1432-0622|CIÊNCIA DA COMPUTAÇÃO|Applicable algebra in engineering, communication and computing (Internet)|B2|Atualizada em 2012
1452-8630|CIÊNCIA DA COMPUTAÇÃO|Applicable Analysis and Discrete Mathematics|B2|Atualizada em 2012
0883-9514|CIÊNCIA DA COMPUTAÇÃO|Applied Artificial Intelligence|B1|Atualizada em 2012
0003-6870|CIÊNCIA DA COMPUTAÇÃO|Applied Ergonomics|B2|Atualizada em 2012
0924-669X|CIÊNCIA DA COMPUTAÇÃO|Applied Intelligence (Boston)|B1|Atualizada em 2012
1573-7497|CIÊNCIA DA COMPUTAÇÃO|Applied Intelligence (Dordrecht. Online)|B1|Atualizada em 2012
0307-904X|CIÊNCIA DA COMPUTAÇÃO|Applied Mathematical Modelling|A2|Atualizada em 2012
0095-4616|CIÊNCIA DA COMPUTAÇÃO|Applied Mathematics & Optimization|B1|Atualizada em 2012
0096-3003|CIÊNCIA DA COMPUTAÇÃO|Applied Mathematics and Computation|A2|Atualizada em 2012
0168-9274|CIÊNCIA DA COMPUTAÇÃO|Applied Numerical Mathematics|A2|Atualizada em 2012
1570-5838|CIÊNCIA DA COMPUTAÇÃO|Applied Ontology|B2|Atualizada em 2012
1559-128X|CIÊNCIA DA COMPUTAÇÃO|Applied Optics|B3|Atualizada em 2012
0003-6951|CIÊNCIA DA COMPUTAÇÃO|Applied Physics Letters|B1|Atualizada em 2012
1568-4946|CIÊNCIA DA COMPUTAÇÃO|Applied Soft Computing (Print)|A2|Atualizada em 2012
1359-4311|CIÊNCIA DA COMPUTAÇÃO|Applied Thermal Engineering|B2|Atualizada em 2012
1420-8938|CIÊNCIA DA COMPUTAÇÃO|Archiv der Mathematik (Electronic ed.)|B2|Atualizada em 2012
0003-889X|CIÊNCIA DA COMPUTAÇÃO|Archiv der Mathematik (Printed ed.)|B2|Atualizada em 2012
0003-9519|CIÊNCIA DA COMPUTAÇÃO|Archive for History of Exact Sciences (Print)|B4|Atualizada em 2012
0003-9861|CIÊNCIA DA COMPUTAÇÃO|Archives of Biochemistry and Biophysics (Print)|B2|Atualizada em 2012
1134-3060|CIÊNCIA DA COMPUTAÇÃO|Archives of Computational Methods in Engineering|A1|Atualizada em 2012
0253-6269|CIÊNCIA DA COMPUTAÇÃO|Archives of Pharmacal Research (Seoul. Print)|C|Atualizada em 2012
0004-0622|CIÊNCIA DA COMPUTAÇÃO|Archivos Latinoamericanos de Nutrición|C|Atualizada em 2012
0102-0935|CIÊNCIA DA COMPUTAÇÃO|Arquivo Brasileiro de Medicina Veterinária e Zootecnia|C|Atualizada em 2012
0066-782X|CIÊNCIA DA COMPUTAÇÃO|Arquivos Brasileiros de Cardiologia (Impresso)|C|Atualizada em 2012
0004-282X|CIÊNCIA DA COMPUTAÇÃO|Arquivos de Neuro-Psiquiatria (Impresso)|C|Atualizada em 2012
0381-7032|CIÊNCIA DA COMPUTAÇÃO|Ars Combinatoria|B2|Atualizada em 2012
0004-3702|CIÊNCIA DA COMPUTAÇÃO|Artificial Intelligence (General Ed.)|A1|Atualizada em 2012
0890-0604|CIÊNCIA DA COMPUTAÇÃO|Artificial Intelligence for Engineering Design, Analysis and Manufacturing|B1|Atualizada em 2012
1469-1760|CIÊNCIA DA COMPUTAÇÃO|Artificial Intelligence for Engineering Design, Analysis and Manufacturing (Online)|B1|Atualizada em 2012
0933-3657|CIÊNCIA DA COMPUTAÇÃO|Artificial Intelligence in Medicine (Print)|A2|Atualizada em 2012
0269-2821|CIÊNCIA DA COMPUTAÇÃO|Artificial Intelligence Review|B1|Atualizada em 2012
1573-7462|CIÊNCIA DA COMPUTAÇÃO|Artificial Intelligence Review (Dordrecht. Online)|B1|Atualizada em 2012
1064-5462|CIÊNCIA DA COMPUTAÇÃO|Artificial Life|A2|Atualizada em 2012
1530-9185|CIÊNCIA DA COMPUTAÇÃO|Artificial Life (Online)|A2|Atualizada em 2012
0001-253X|CIÊNCIA DA COMPUTAÇÃO|ASLIB Proceedings|B3|Atualizada em 2012
0928-8910|CIÊNCIA DA COMPUTAÇÃO|Automated Software Engineering|B2|Atualizada em 2012
0005-1098|CIÊNCIA DA COMPUTAÇÃO|Automatica (Oxford)|A1|Atualizada em 2012
1387-2532|CIÊNCIA DA COMPUTAÇÃO|Autonomous Agents and Multi-Agent Systems|A2|Atualizada em 2012
1573-7454|CIÊNCIA DA COMPUTAÇÃO|Autonomous Agents and Multi-Agent Systems (Dordrecht. Online)|A2|Atualizada em 2012
0929-5593|CIÊNCIA DA COMPUTAÇÃO|Autonomous Robots|A1|Atualizada em 2012
1573-7527|CIÊNCIA DA COMPUTAÇÃO|Autonomous Robots (Dordrecht. Online)|A1|Atualizada em 2012
1909-0056|CIÊNCIA DA COMPUTAÇÃO|Avances en Sistemas e Informatica|C|Atualizada em 2012
1931-6690|CIÊNCIA DA COMPUTAÇÃO|Bayesian analysis (Online)|B2|Atualizada em 2012
0140-525X|CIÊNCIA DA COMPUTAÇÃO|Behavioral and Brain Sciences (Print)|A1|Atualizada em 2012
1362-3001|CIÊNCIA DA COMPUTAÇÃO|Behaviour & Information Technology (Online)|B1|Atualizada em 2012
1538-7305|CIÊNCIA DA COMPUTAÇÃO|Bell Labs Technical Journal (Online)|B1|Atualizada em 2012
