ISSN|area|titulo|estrato|anoBase
1573-7454|Ciência da Computação|Autonomous Agents and Multi-Agent Systems (Dordrecht. Online)|A2|2008
0929-5593|Ciência da Computação|Autonomous Robots|A2|2008
1573-7527|Ciência da Computação|Autonomous Robots (Dordrecht. Online)|A2|2008
1931-6690|Ciência da Computação|Bayesian analysis (Online)|C|2008
0140-525X|Ciência da Computação|Behavioral and Brain Sciences (Print)|B2|2008
1362-3001|Ciência da Computação|Behaviour & Information Technology (Online)|B1|2008
1538-7305|Ciência da Computação|Bell Labs Technical Journal (Online)|B1|2008
1809-5577|Ciência da Computação|Bio Farma|C|2008
1367-4811|Ciência da Computação|Bioinformatics (Oxford. Online)|A1|2008
1367-4803|Ciência da Computação|Bioinformatics (Oxford. Print)|A1|2008
0340-1200|Ciência da Computação|Biological Cybernetics|A2|2008
1432-0770|Ciência da Computação|Biological Cybernetics (Internet)|A2|2008
1615-7591|Ciência da Computação|Bioprocess and Biosystems Engineering (Print)|B4|2008
1572-9125|Ciência da Computação|BIT Numerical Mathematics (Dordrecht. Online)|B1|2008
1471-2105|Ciência da Computação|BMC Bioinformatics|A1|2008
1755-8794|Ciência da Computação|BMC Medical Genomics|B4|2008
1471-2180|Ciência da Computação|BMC Microbiology (Online)|B4|2008
1471-2229|Ciência da Computação|BMC Plant Biology (Online)|B4|2008
1752-0509|Ciência da Computação|BMC Systems Biology|B4|2008
1518-160X|Ciência da Computação|Boletim da SOBRAPO|C|2008
1676-014X|Ciência da Computação|Boletim da Sociedade Brasileira de Meteorologia|C|2008
0006-6117|Ciência da Computação|Boletim Técnico da Petrobrás|C|2008
0102-549X|Ciência da Computação|Boletim Técnico do SENAC|C|2008
1516-8913|Ciência da Computação|Brazilian Archives of Biology and Technology (Impresso)|B4|2008
0100-879X|Ciência da Computação|Brazilian Journal of Medical and Biological Research (Impresso)|B2|2008
1517-8382|Ciência da Computação|Brazilian Journal of Microbiology (Impresso)|B4|2008
0103-9733|Ciência da Computação|Brazilian Journal of Physics (Impresso)|B4|2008
1806-8324|Ciência da Computação|Brazilian Oral Research (Impresso)|C|2008
0143-6244|Ciência da Computação|Building Services Engineering Research & Technology|B4|2008
0102-311X|Ciência da Computação|Cadernos de Saúde Pública (ENSP. Impresso)|B4|2008

0008-4026|Ciência da Computação|Canadian Journal of Botany (Print)|B2|2008
1916-2790||Botany (Ottawa. Print)|B2|2008

0840-8688|Ciência da Computação|Canadian Journal of Electrical and Computer Engineering|B2|2008
0008-543X|Ciência da Computação|Cancer (Print)|B2|2008
1085-9195|Ciência da Computação|Cell Biochemistry and Biophysics|B2|2008
1570-5870|Ciência da Computação|Cellular Oncology|B2|2008
1089-7682|Ciência da Computação|Chaos (Woodbury, N.Y. Online)|B2|2008
1054-1500|Ciência da Computação|Chaos (Woodbury, N.Y.)|B2|2008
0960-0779|Ciência da Computação|Chaos, Solitons and Fractals|B2|2008
0169-7439|Ciência da Computação|Chemometrics and Intelligent Laboratory Systems (Print)|B2|2008
0009-6725|Ciência da Computação|Ciência e Cultura|C|2008
0717-5000|Ciência da Computação|CLEI Electronic Journal|C|2008
1078-0432|Ciência da Computação|Clinical Cancer Research (Print)|B2|2008
1386-7857|Ciência da Computação|Cluster Computing|B1|2008
1092-8529|Ciência da Computação|CNS Spectrums|B3|2008
0926-6410|Ciência da Computação|Cognitive Brain Research|A1|2008
1865-0929|Ciência da Computação|Communications in Computer and Information Science (Print)|B3|2008
1069-8299|Ciência da Computação|Communications in Numerical Methods in Engineering|B1|2008
0001-0782|Ciência da Computação|Communications of the ACM|A1|2008
0332-1649|Ciência da Computação|Compel (Bradford)|B2|2008
1476-9271|Ciência da Computação|Computational Biology and Chemistry (Print)|A2|2008
1420-8954|Ciência da Computação|Computational Complexity (Electronic ed.)|B2|2008
0918-6654|Ciência da Computação|Computational Fluid Dynamics Journal|B2|2008
1420-0597|Ciência da Computação|Computational Geosciences (Amsterdam)|B2|2008
1467-8640|Ciência da Computação|Computational Intelligence (Online)|B1|2008
1530-9312|Ciência da Computação|Computational Linguistics - Association For Computational Linguistics (Online)|A1|2008
0178-7675|Ciência da Computação|Computational Mechanics|A2|2008
1432-0924|Ciência da Computação|Computational Mechanics (Berlin. Internet)|A2|2008
0926-6003|Ciência da Computação|Computational Optimization and Applications|B1|2008
1573-2894|Ciência da Computação|Computational Optimization and Applications (Dordrecht. Online)|B1|2008
0167-9473|Ciência da Computação|Computational Statistics & Data Analysis (Print)|B1|2008
0943-4062|Ciência da Computação|Computational Statistics (Zeitschrift)|B2|2008
1613-9658|Ciência da Computação|Computational Statistics (Zeitschrift. Internet)|B2|2008
1558-0814|Ciência da Computação|Computer (Long Beach, Calif. Online)|A2|2008
0018-9162|Ciência da Computação|Computer (Long Beach, Calif. Print)|A2|2008
1879-2685|Ciência da Computação|Computer Aided Design (Online)|B3|2008
0167-8396|Ciência da Computação|Computer Aided Geometric Design|A2|2008
1546-4261|Ciência da Computação|Computer Animation and Virtual Worlds (print)|B2|2008
1061-3773|Ciência da Computação|Computer Applications in Engineering Education|B2|2008
0146-4833|Ciência da Computação|Computer Communication Review|B2|2008
0140-3664|Ciência da Computação|Computer Communications|A2|2008
0097-8930|Ciência da Computação|Computer Graphics|B1|2008
1467-8659|Ciência da Computação|Computer Graphics Forum|A2|2008
0167-7055|Ciência da Computação|Computer Graphics Forum|A2|2008
0271-4159|Ciência da Computação|Computer Graphics World|B2|2008
1460-2067|Ciência da Computação|Computer Journal (Online)|B1|2008
0010-4620|Ciência da Computação|Computer Journal (Print)|B1|2008
1477-8424|Ciência da Computação|Computer Languages, Systems & Structures|B2|2008
0169-2607|Ciência da Computação|Computer Methods and Programs in Biomedicine (Print)|B1|2008
0045-7825|Ciência da Computação|Computer Methods in Applied Mechanics and Engineering|A1|2008
1531-5169|Ciência da Computação|Computer Music Journal (Online)|B1|2008
1389-1286|Ciência da Computação|Computer Networks (1999)|A1|2008
0010-4655|Ciência da Computação|Computer Physics Communications|A1|2008
1095-8363|Ciência da Computação|Computer Speech & Language (Online)|B1|2008
0885-2308|Ciência da Computação|Computer Speech & Language (Print)|B1|2008
0920-5489|Ciência da Computação|Computer Standards & Interfaces|B2|2008
0267-6192|Ciência da Computação|Computer Systems Science and Engineering|B2|2008
1090-235X|Ciência da Computação|Computer Vision and Image Understanding (Online)|A1|2008
1077-3142|Ciência da Computação|Computer Vision and Image Understanding (Print)|A1|2008
1467-8667|Ciência da Computação|Computer-Aided Civil And Infrastructure Engineering (Online)|B2|2008
0895-6111|Ciência da Computação|Computerized Medical Imaging and Graphics|B1|2008
0098-1354|Ciência da Computação|Computers & Chemical Engineering|A2|2008
0045-7906|Ciência da Computação|Computers & Electrical Engineering|B2|2008
0045-7930|Ciência da Computação|Computers & Fluids|A2|2008
0098-3004|Ciência da Computação|Computers & Geosciences|A2|2008
0097-8493|Ciência da Computação|Computers & Graphics|B1|2008
0360-8352|Ciência da Computação|Computers & Industrial Engineering|B1|2008
0898-1221|Ciência da Computação|Computers & Mathematics with Applications (1987)|A2|2008
0305-0548|Ciência da Computação|Computers & Operations Research|A2|2008
0167-4048|Ciência da Computação|Computers & Security|B1|2008
0045-7949|Ciência da Computação|Computers & Structures|A2|2008
0360-1315|Ciência da Computação|Computers and Education|A2|2008
0168-1699|Ciência da Computação|Computers and Electronics in Agriculture|B1|2008
0266-352X|Ciência da Computação|Computers and Geotechnics|B2|2008
1572-8412|Ciência da Computação|Computers and The Humanities (Dordrecht. Online)|B1|2008
0010-4825|Ciência da Computação|Computers in Biology and Medicine|B1|2008
1544-3574|Ciência da Computação|Computers in Entertainment : CIE|B2|2008
0166-3615|Ciência da Computação|Computers in Industry|B1|2008
1538-9774|Ciência da Computação|Computers, Informatics, Nursing (Online)|B2|2008
1436-5057|Ciência da Computação|Computing (Wien. Internet)|A2|2008
1335-9150|Ciência da Computação|Computing and Informatics|B2|2008
1521-9615|Ciência da Computação|Computing in Science & Engineering (Print)|B1|2008
1532-0626|Ciência da Computação|Concurrency and Computation|B1|2008
