ISSN|area|titulo|estrato|anoBase
1981-0385|Interdisciplinar|+ Geografias (Feira de Santana)|B5|2008
1433-3015|Interdisciplinar|The International Journal of Advanced Manufacturing Technology (Internet)|B2|2008
1516-1528|Interdisciplinar|Arquivos da Fundação Otorrinolaringologia|B4|2008
1809-4856|Interdisciplinar|Arquivos internacionais de otorrinolaringologia (Online)|B3|2008
1981-030X|Interdisciplinar|19&20 (Rio de Janeiro)|B3|2008
0104-7922|Interdisciplinar|A Agua em Revista|B5|2008
1415-8973|Interdisciplinar|A Cor das Letras (UEFS)|B2|2008
0011-7641|Interdisciplinar|A Defesa Nacional|C |2008
1983-6430|Interdisciplinar|A Física na Escola (Online)|B4|2008
0101-9163|Interdisciplinar|A Hora Veterinária|B4|2008
0023-9135|Interdisciplinar|A Lavoura (Rio de Janeiro)|B4|2008
1676-0336|Interdisciplinar|A Terceira Idade|B3|2008
0149-1423|Interdisciplinar|AAPG Bulletin (Print)|A2|2008
1807-9202|Interdisciplinar|Abc Educatio (São Paulo)|B5|2008
0102-6720|Interdisciplinar|ABCD. Arquivos Brasileiros de Cirurgia Digestiva|B3|2008
1676-5656|Interdisciplinar|ABCDesing|B4|2008
0874-2731|Interdisciplinar|ABO. Revista de Medicina Transfusional|B4|2008
1807-9792|Interdisciplinar|Abstracta : linguagem, mente e ação (Niterói)|B2|2008
1809-3604|Interdisciplinar|Academos (São Bernardo do Campo)|B5|2008
1806-9436|Interdisciplinar|Ação & Movimento (Rio de Janeiro)|B5|2008
1519-0552|Interdisciplinar|Ação Ambiental (UFV)|B3|2008
0258-2678|Interdisciplinar|Acción Crítica|B5|2008
0949-1775|Interdisciplinar|Accreditation and Quality Assurance|B1|2008
0102-700X|Interdisciplinar|Acervo (Rio de Janeiro)|B2|2008
1981-867X|Interdisciplinar|Acervo On-line de Mídia Regional (UNITAU)|B4|2008
1677-8855|Interdisciplinar|Achegas.net|B4|2008
0889-3241|Interdisciplinar|ACI Structural Journal|A2|2008
1525-9293|Interdisciplinar|ACIS International Journal of Computer and Information Science|B4|2008
0360-0300|Interdisciplinar|ACM Computing Surveys|A1|2008
1084-6654|Interdisciplinar|ACM Journal of Experimental Algorithmics|B1|2008
0098-3500|Interdisciplinar|ACM Transactions on Mathematical Software|A2|2008
1980-7686|Interdisciplinar|Acolhendo a Alfabetização nos Países de Língua Portuguesa (USP)|B2|2008
0044-5967|Interdisciplinar|Acta Amazonica (Impresso)|A2|2008
1677-7298|Interdisciplinar|Acta Ambiental Catarinense|B3|2008
0167-8019|Interdisciplinar|Acta Applicandae Mathematicae|B1|2008
0094-5765|Interdisciplinar|Acta Astronautica|B1|2008

0103-555X|Interdisciplinar|Acta AWHO (Impresso)|B5|2008
1678-2143||Acta AWHO (Online)|B5|2008

0120-548X|Interdisciplinar|Acta Biologica Colombiana|B2|2008

0101-5354|Interdisciplinar|Acta Biologica Leopoldensia (Cessou em 2006.)|B3|2008

0102-3306|Interdisciplinar|Acta Botanica Brasílica (Impresso)|B1|2008
0210-9506|Interdisciplinar|Acta Botánica Malacitana|B5|2008
0102-8650|Interdisciplinar|Acta Cirúrgica Brasileira (Impresso)|B1|2008
1600-5368|Interdisciplinar|Acta Crystallographica. Section E|B1|2008
0001-5547|Interdisciplinar|Acta Cytologica|B1|2008
0326-2383|Interdisciplinar|Acta Farmacéutica Bonaerense|B1|2008
0104-7795|Interdisciplinar|Acta Fisiatrica (USP)|B2|2008
1980-5772|Interdisciplinar|Acta Geográfica (UFRR)|B4|2008
1861-1125|Interdisciplinar|Acta Geotechnica (Berlin. Print)|B4|2008
