ISSN|area|titulo|estrato|anoBase
0065-1281|Interdisciplinar|Acta Histochemica (Print)|B1|2008
0567-7572|Interdisciplinar|Acta Horticulturae|B2|2008
0102-6712|Interdisciplinar|Acta Limnológica Brasiliensia|B2|2008
1359-6454|Interdisciplinar|Acta Materialia (Oxford)|A1|2008
0103-5037|Interdisciplinar|Acta Médica (Porto Alegre)|B4|2008
0870-399X|Interdisciplinar|Acta Médica Portuguesa|B2|2008
0924-2708|Interdisciplinar|Acta Neuropsychiatrica|B1|2008
1146-609X|Interdisciplinar|Acta Oecologica (Montrouge)|A1|2008

1395-3907|Interdisciplinar|Acta Ophthalmologica Scandinavica (Cessou em 2007)|B1|2008
1755-375X||Acta Ophthalmologica (2008. Print)|B1|2008

1809-8770|Interdisciplinar|Acta ORL|B5|2008
1413-7852|Interdisciplinar|Acta Ortopédica Brasileira (Impresso)|B2|2008
0001-6489|Interdisciplinar|Acta Oto-Laryngologica|B1|2008
0803-5253|Interdisciplinar|Acta Paediatrica (Oslo)|B1|2008
1230-2821|Interdisciplinar|Acta Parasitologica|B1|2008
0103-2100|Interdisciplinar|Acta Paulista de Enfermagem (UNIFESP. Impresso)|B1|2008
1219-7580|Interdisciplinar|Acta Physica Hungarica. Heavy Ion Physics (Print)|B3|2008
0137-5881|Interdisciplinar|Acta Physiologiae Plantarum|B1|2008
0001-690X|Interdisciplinar|Acta Psychiatrica Scandinavica|A1|2008
1517-4492|Interdisciplinar|Acta Scientiae (ULBRA)|B3|2008
1678-0345|Interdisciplinar|Acta Scientiae Veterinariae (UFRGS. Impresso)|B3|2008
1415-6814|Interdisciplinar|Acta Scientiarum (UEM, Cessou em 2002)|B2|2008
1679-9275|Interdisciplinar|Acta Scientiarum. Agronomy (Impresso)|B2|2008
1807-8621|Interdisciplinar|Acta Scientiarum. Agronomy (Online)|B2|2008
1807-8672|Interdisciplinar|Acta Scientiarum. Animal Sciences|B2|2008
1679-9283|Interdisciplinar|Acta Scientiarum. Biological Sciences (Impresso)|B3|2008
1807-863X|Interdisciplinar|Acta Scientiarum. Biological Sciences (Online)|B3|2008
1679-9291|Interdisciplinar|Acta Scientiarum. Health Sciences (Impresso)|B2|2008
1679-7361|Interdisciplinar|Acta Scientiarum. Human and Social Sciences (Impresso)|B2|2008

1807-8656|Interdisciplinar|Acta Scientiarum. Human and Social Sciences (Online, Cessou em 2007)|B2|2008
1983-4683||Acta Scientiarum. Language and Culture (Online)|B2|2008

1806-2563|Interdisciplinar|Acta Scientiarum. Technology (Impresso)|B2|2008
0102-4264|Interdisciplinar|Acta Semiótica et Linguística|B2|2008
1121-2098|Interdisciplinar|Acta Technologiae et Legis Medicamenti|B4|2008
0327-9286|Interdisciplinar|Acta Toxicológica Argentina|B2|2008
0001-706X|Interdisciplinar|Acta Tropica|A2|2008
0001-7272|Interdisciplinar|Acta Zoologica (Stockholm)|A2|2008
1850-2032|Interdisciplinar|Actas de Diseño|B2|2008
1809-3272|Interdisciplinar|Actas Freudianas|B4|2008
0257-0076|Interdisciplinar|Actes des Colloques Insectes Sociaux|B4|2008
0981-5597|Interdisciplinar|Actes du GERPISA|B5|2008
1518-0204|Interdisciplinar|Activity Report (Laboratório Nacional de Luz Síncrotron)|B5|2008
1518-7438|Interdisciplinar|Adcontar (UNAMA)|B4|2008
1676-9457|Interdisciplinar|Administração de Empresas em Revista|B4|2008
1676-2657|Interdisciplinar|Administração em Debate (Campo Grande)|C |2008
1516-5779|Interdisciplinar|Administração em Diálogo|B4|2008
0751-7696|Interdisciplinar|Adolescence (Paris)|B4|2008
0929-5607|Interdisciplinar|Adsorption (Boston)|B1|2008
1710-2251|Interdisciplinar|Advanced Technology for Learning|B2|2008
0196-8858|Interdisciplinar|Advances in Applied Mathematics (Print)|A2|2008
0951-7197|Interdisciplinar|Advances in Cement Research|B1|2008
1079-9389|Interdisciplinar|Advances in Differential Equations|B2|2008
0965-9978|Interdisciplinar|Advances in Engineering Software (1992)|A2|2008
1680-7340|Interdisciplinar|Advances in Geosciences (Print)|B1|2008
0091-3952|Interdisciplinar|Advances in Neurology|B2|2008
1197-8554|Interdisciplinar|Advances in Peritoneal Dialysis|B2|2008
0273-1177|Interdisciplinar|Advances in Space Research|B1|2008
0309-1708|Interdisciplinar|Advances in Water Resources|A1|2008
0100-8153|Interdisciplinar|África (USP)|B2|2008
1991-637X|Interdisciplinar|African Journal of Agricultural Research|B4|2008
1684-5315|Interdisciplinar|African Journal of Biotechnology|B1|2008
1814-232X|Interdisciplinar|African Journal of Marine Science (Print)|B1|2008
0002-0206|Interdisciplinar|African Studies Review|B2|2008
0874-2375|Interdisciplinar|Africana Studia|B4|2008
0002-0591|Interdisciplinar|Afro-Ásia (UFBA. Impresso)|B1|2008
1808-8554|Interdisciplinar|Agathos (Idaial)|B4|2008
1981-9862|Interdisciplinar|Agenda Social (UENF)|B3|2008
0890-278X|Interdisciplinar|AGHE Exchange|C |2008
1496-9580|Interdisciplinar|Agora (Edmonton)|B5|2008
1414-0454|Interdisciplinar|Ágora (UNISC)|B4|2008
1679-5385|Interdisciplinar|Ágora Filosófica (UNICAP. Impresso)|B4|2008
1981-0997|Interdisciplinar|Agrária (Recife. Online)|B3|2008
1808-1150|Interdisciplinar|Agrária (São Paulo. Online)|B2|2008
1981-1160|Interdisciplinar|Agrária (UFPE. Impresso)|B3|2008
1516-134X|Interdisciplinar|Agricultura Biodinâmica|B4|2008
0168-1923|Interdisciplinar|Agricultural and Forest Meteorology (Print)|A1|2008
0169-5150|Interdisciplinar|Agricultural Economics|B1|2008
0308-521X|Interdisciplinar|Agricultural Systems|A2|2008
0378-3774|Interdisciplinar|Agricultural Water Management (Print)|A1|2008
0167-8809|Interdisciplinar|Agriculture, Ecosystems & Environment (Print)|A1|2008
0100-4298|Interdisciplinar|Agroanalysis (FGV)|B2|2008
1022-7482|Interdisciplinar|Agroforestería en las Américas|B4|2008
0167-4366|Interdisciplinar|Agroforestry Systems (Print)|A2|2008
0002-1962|Interdisciplinar|Agronomy Journal (Print)|A1|2008
0103-0779|Interdisciplinar|Agropecuária Catarinense|B4|2008
0100-7467|Interdisciplinar|Agropecuária Técnica (UFPB)|B3|2008
0103-3816|Interdisciplinar|Agrotrópica (Itabuna)|B3|2008
0101-7004|Interdisciplinar|Águas Subterrâneas (São Paulo)|B2|2008
0001-1541|Interdisciplinar|AIChE Journal|A1|2008
0269-9370|Interdisciplinar|AIDS (London)|A1|2008
1090-7165|Interdisciplinar|AIDS and Behavior|A1|2008
1573-3254|Interdisciplinar|AIDS and Behavior (Online)|B1|2008
0889-2229|Interdisciplinar|AIDS Research and Human Retroviruses|A2|2008
0094-243X|Interdisciplinar|AIP Conference Proceedings|B2|2008
1133-9837|Interdisciplinar|Alambique (Barcelona)|B3|2008
1851-7145|Interdisciplinar|Alambre (Buenos Aires)|B5|2008
1413-2591|Interdisciplinar|Alcance (UNIVALI, Cessou em 2007)|B2|2008
1518-8728|Interdisciplinar|Alceu (PUCRJ)|B2|2008
0735-0414|Interdisciplinar|Alcohol and Alcoholism (Oxford)|A2|2008
1413-0394|Interdisciplinar|Aletheia (ULBRA)|B1|2008
1982-5153|Interdisciplinar|Alexandria (UFSC)|B2|2008
0304-9787|Interdisciplinar|Aligarh Bulletin of Mathematics|B2|2008
0103-4235|Interdisciplinar|Alimentos e Nutrição (UNESP. Marilia)|B2|2008
0971-4693|Interdisciplinar|Allelopathy Journal|B1|2008
1981-5433|Interdisciplinar|Almanaque Unigranrio de Pesquisa|B5|2008
0100-1655|Interdisciplinar|Alter: Revista de Estudos Psicanalíticos|B5|2008
0188-7017|Interdisciplinar|Alteridades (El Parque)|C |2008
0328-8064|Interdisciplinar|Alternativas. Serie: Espacio Pedagógico|B4|2008
0893-0341|Interdisciplinar|Alzheimer Disease and Associated Disorders|A2|2008
1552-5260|Interdisciplinar|Alzheimer's & Dementia|B2|2008
0084-5841|Interdisciplinar|AMA. Agricultural Mechanization in Asia, Africa and Latin America|B2|2008
1809-4058|Interdisciplinar|Amazônia (Banco da Amazônia. 2005)|B5|2008
1517-252X|Interdisciplinar|Amazônia em Cadernos|B3|2008
1517-3127|Interdisciplinar|Amazônida (UFAM)|B2|2008
1808-0251|Interdisciplinar|Ambiência (UNICENTRO)|B3|2008
1413-8638|Interdisciplinar|Ambiente & Educação (FURG)|B3|2008
1809-4422|Interdisciplinar|Ambiente & Sociedade (Online)|B1|2008
1678-8621|Interdisciplinar|Ambiente Construído (Online)|B1|2008
1414-753X|Interdisciplinar|Ambiente e Sociedade (Campinas)|B1|2008
0044-7447|Interdisciplinar|Ambio (Oslo)|A2|2008
1510-3722|Interdisciplinar|AMBIOS-Cultura Ambiental|B5|2008
1518-0360|Interdisciplinar|Âmbito Jurídico|B5|2008
0002-6980|Interdisciplinar|Ambix (Cambridge)|B1|2008
1390-1230|Interdisciplinar|America Latina en Movimiento|B5|2008
0002-7812|Interdisciplinar|American Ceramic Society Bulletin|B1|2008
0094-0496|Interdisciplinar|American Ethnologist|A2|2008
1557-4989|Interdisciplinar|American Journal of Agricultural and Biological Sciences|B2|2008
0002-9092|Interdisciplinar|American Journal of Agricultural Economics|A2|2008
1526-5161|Interdisciplinar|American Journal of Bioethics|A1|2008
0002-9122|Interdisciplinar|American Journal of Botany|A1|2008
0002-9173|Interdisciplinar|American Journal of Clinical Pathology|A2|2008
1042-0533|Interdisciplinar|American Journal of Human Biology|A2|2008
0002-9297|Interdisciplinar|American Journal of Human Genetics|A1|2008
0895-7061|Interdisciplinar|American Journal of Hypertension|A2|2008
0196-6553|Interdisciplinar|American Journal of Infection Control|A2|2008

0148-7299|Interdisciplinar|American Journal of Medical Genetics (Print, Cessou em 2002)|B1|2008
1552-4841||American Journal of Medical Genetics, Part B: Neuropsychiatric Genetics|B1|2008
1552-4868||American Journal of Medical Genetics, Part C|B1|2008

1552-4825|Interdisciplinar|American Journal of Medical Genetics. Part A|A2|2008
0002-9378|Interdisciplinar|American Journal of Obstetrics and Gynecology (Print)|A2|2008
0002-9483|Interdisciplinar|American Journal of Physical Anthropology|A1|2008
0363-6135|Interdisciplinar|American Journal of Physiology. Heart and Circulatory Physiology|A1|2008
0092-5853|Interdisciplinar|American Journal of Political Science|A1|2008
0275-2565|Interdisciplinar|American Journal of Primatology (Print)|A2|2008
0090-0036|Interdisciplinar|American Journal of Public Health (1971)|A1|2008
1073-449X|Interdisciplinar|American Journal of Respiratory and Critical Care Medicine|A1|2008
0002-9645|Interdisciplinar|American Journal of Veterinary Research|A2|2008
0003-0082|Interdisciplinar|American Museum Novitates|A2|2008
1559-4076|Interdisciplinar|AMIA ... Annual Symposium proceedings|C |2008
1807-1090|Interdisciplinar|Amicus Curiae (UNESC)|B4|2008
0939-4451|Interdisciplinar|Amino Acids (Wien. Print)|A2|2008
0173-5373|Interdisciplinar|Amphibia-Reptilia|B1|2008
1980-4563|Interdisciplinar|Anais (Simpósio Nacional de Geografia Agrária ... Simpósio Internacional de Geografia Agrária. CD-Rom)|C |2008
1808-9755|Interdisciplinar|Anais - Encontro Nacional de Turismo com Base Local|C |2008
1983-0653|Interdisciplinar|Anais ... Simpósio Brasileiro de Engenharia Ambiental|C |2008
0365-0596|Interdisciplinar|Anais Brasileiros de Dermatologia (Impresso)|B2|2008
9999-9994|Interdisciplinar|Anais da 25a RBA Saberes e práticas antropológicas desafios para o século XXI|C |2008
0001-3765|Interdisciplinar|Anais da Academia Brasileira de Ciências (Impresso)|A2|2008
1519-2954|Interdisciplinar|Anais da Faculdade de Odontologia de Ribeirão Preto da Universidade de São Paulo (Impresso)|B3|2008
1518-5613|Interdisciplinar|Anais de Pesquisa da Universidade de Ribeirão Preto (Impresso)|B4|2008
|Interdisciplinar|Anais do 59 Congresso Brasileiro de Botânica|C |2008
1678-9997|Interdisciplinar|Anais do Conselho Regional de Medicina do Estado do Piauí|B4|2008
1413-1803|Interdisciplinar|Anais do Museu Histórico Nacional|B2|2008
0101-4714|Interdisciplinar|Anais do Museu Paulista (Impresso)|B2|2008
1516-2680|Interdisciplinar|Análise (PUCRS)|B2|2008
0102-9924|Interdisciplinar|Análise Econômica (UFRGS)|B2|2008
1509-4650|Interdisciplinar|Analityka (Warszawa)|B4|2008
1677-3055|Interdisciplinar|Analytica (São Paulo)|B2|2008
0003-2670|Interdisciplinar|Analytica Chimica Acta (Print)|A1|2008
1618-2642|Interdisciplinar|Analytical and Bioanalytical Chemistry|A1|2008
0003-2719|Interdisciplinar|Analytical Letters|B1|2008
0340-2096|Interdisciplinar|Anatomia, Histologia, Embryologia|B1|2008
0303-4569|Interdisciplinar|Andrologia (Berlin)|B1|2008
0101-191X|Interdisciplinar|Ângulo (FATEA. Impresso)|B3|2008
1980-0606|Interdisciplinar|Animador Sociocultural|B4|2008
0003-3472|Interdisciplinar|Animal Behaviour|A1|2008
1578-665X|Interdisciplinar|Animal Biodiversity and Conservation|B4|2008
0378-4320|Interdisciplinar|Animal Reproduction Science (Print)|A2|2008
1677-907X|Interdisciplinar|Animus (Santa Maria)|B4|2008
0395-2649|Interdisciplinar|Annales (Paris)|A2|2008
1824-2707|Interdisciplinar|Annali dell'Università di Ferrara. Sezione: Museologia Scientifica e Naturalistica|B4|2008
1081-1206|Interdisciplinar|Annals of Allergy, Asthma & Immunology|A2|2008
0003-4746|Interdisciplinar|Annals of Applied Biology|A2|2008
0305-7364|Interdisciplinar|Annals of Botany (Print)|A1|2008
0218-0006|Interdisciplinar|Annals of Combinatorics (Print)|B1|2008
1047-2797|Interdisciplinar|Annals of Epidemiology|A2|2008
0301-4460|Interdisciplinar|Annals of Human Biology|B1|2008
0306-4549|Interdisciplinar|Annals of Nuclear Energy|B1|2008
0254-5330|Interdisciplinar|Annals of Operation Research|B1|2008
0020-3157|Interdisciplinar|Annals of the Institute of Statistical Mathematics|A2|2008
0077-8923|Interdisciplinar|Annals of the New York Academy of Sciences|A2|2008
0160-7383|Interdisciplinar|Annals of Tourism Research|B1|2008
0003-4983|Interdisciplinar|Annals of Tropical Medicine and Parasitology|B1|2008
0272-4936|Interdisciplinar|Annals of Tropical Paediatrics|B1|2008
1543-592X|Interdisciplinar|Annual Review of Ecology, Evolution, and Systematics|A1|2008
1367-5788|Interdisciplinar|Annual Reviews in Control|A2|2008
0702-8997|Interdisciplinar|Anthropologie et Sociétés|B2|2008
8846-5047|Interdisciplinar|Anthropotes|C |2008
0250-7005|Interdisciplinar|Anticancer Research|B1|2008
1809-6964|Interdisciplinar|Antídoto (UFG)|B4|2008
0066-4804|Interdisciplinar|Antimicrobial Agents and Chemotherapy (Print)|A1|2008
0003-6072|Interdisciplinar|Antonie van Leeuwenhoek (Gedrukt)|B1|2008
1682-9883|Interdisciplinar|Antrópolis (La Paz)|B4|2008
1414-7378|Interdisciplinar|Antropolítica (UFF)|B1|2008
1677-7174|Interdisciplinar|Antropologia em Primeira Mão|C |2008
1679-7523|Interdisciplinar|Anuário ABEDI|B5|2008
0102-4302|Interdisciplinar|Anuário Antropológico|B1|2008
1980-9484|Interdisciplinar|Anuário Brasileiro de Direito Internacional|B5|2008
1669-5186|Interdisciplinar|Anuario de Estudios de Antropología Social|B2|2008
0073-988X|Interdisciplinar|Anuário Estatístico do Café (Rio de Janeiro)|B4|2008
0102-4671|Interdisciplinar|Anuário Estatístico dos Transportes|B5|2008
0102-8731|Interdisciplinar|Anuário Evangélico|C |2008
0044-8435|Interdisciplinar|Apidologie (Celle)|A2|2008
1665-1219|Interdisciplinar|Aportes (Puebla)|B2|2008
0195-6663|Interdisciplinar|Appetite (London. Print)|A2|2008
1038-6807|Interdisciplinar|Appita Journal|B1|2008
0003-682X|Interdisciplinar|Applied Acoustics|A2|2008
1098-5336|Interdisciplinar|Applied and Environmental Microbiology (Online)|B1|2008
0099-2240|Interdisciplinar|Applied and Environmental Microbiology (Print)|A1|2008
0883-9514|Interdisciplinar|Applied Artificial Intelligence|A2|2008
0273-2289|Interdisciplinar|Applied Biochemistry and Biotechnology|A2|2008
1176-2322|Interdisciplinar|Applied Bionics and Biomechanics|B2|2008
1808-5512|Interdisciplinar|Applied Cancer Research (Impresso)|B3|2008
0926-860X|Interdisciplinar|Applied Catalysis. A, General (Print)|A1|2008
0926-3373|Interdisciplinar|Applied Catalysis. B, Environmental (Print)|A1|2008
0883-2927|Interdisciplinar|Applied Geochemistry|A1|2008
0143-6228|Interdisciplinar|Applied Geography (Sevenoaks)|A1|2008
0307-904X|Interdisciplinar|Applied Mathematical Modelling|A2|2008
0096-3003|Interdisciplinar|Applied Mathematics and Computation|A1|2008
0893-9659|Interdisciplinar|Applied Mathematics Letters|A2|2008
0175-7598|Interdisciplinar|Applied Microbiology and Biotechnology|A1|2008
0168-9274|Interdisciplinar|Applied Numerical Mathematics|A2|2008
0268-2605|Interdisciplinar|Applied Organometallic Chemistry|A2|2008
0003-6951|Interdisciplinar|Applied Physics Letters|A1|2008
0947-8396|Interdisciplinar|Applied Physics. A, Materials Science & Processing (Print)|A2|2008
0969-8043|Interdisciplinar|Applied Radiation and Isotopes|A2|2008
0570-4928|Interdisciplinar|Applied Spectroscopy Reviews (Softcover ed.)|A1|2008
0169-4332|Interdisciplinar|Applied Surface Science|A1|2008
0871-1267|Interdisciplinar|Aprender (Portalegre)|B5|2008
0044-8486|Interdisciplinar|Aquaculture (Amsterdam)|A1|2008
1365-7305|Interdisciplinar|Aquaculture Economics & Management (Print)|B2|2008
0967-6120|Interdisciplinar|Aquaculture International|A2|2008
1353-5773|Interdisciplinar|Aquaculture Nutrition (Print)|A1|2008
1355-557X|Interdisciplinar|Aquaculture Research (Print)|A2|2008
0304-3770|Interdisciplinar|Aquatic Botany|A2|2008
1052-7613|Interdisciplinar|Aquatic Conservation (Print)|A1|2008
1463-4988|Interdisciplinar|Aquatic Ecosystem Health & Management|B1|2008
0990-7440|Interdisciplinar|Aquatic Living Resources|B1|2008
0167-5427|Interdisciplinar|Aquatic Mammals|B3|2008
1015-1621|Interdisciplinar|Aquatic Sciences (Printed ed.)|A2|2008
1808-5733|Interdisciplinar|Aquinate (Niterói)|B5|2008
1465-5047|Interdisciplinar|ARARA (Colchester)|B3|2008
0103-5657|Interdisciplinar|Ararajuba (Rio de Janeiro)|B2|2008
0210-1963|Interdisciplinar|Arbor (Madrid)|B4|2008
1988-303X|Interdisciplinar|Arbor (Madrid. Internet)|B4|2008
1980-6027|Interdisciplinar|Arca da União|B5|2008
1555-8622|Interdisciplinar|Archaeologies|B3|2008
1951-2198|Interdisciplinar|Archimed (Paris)|B3|2008

0003-9136|Interdisciplinar|Archiv für Hydrobiologie (Cessou em 2006)|A2|2008
1863-9135||Fundamental and Applied Limnology|A2|2008

0933-5846|Interdisciplinar|Archive for Mathematical Logic (Print)|B1|2008
0944-1921|Interdisciplinar|Archive of Fishery and Marine Research (Cessou em 2004)|B2|2008
0090-4341|Interdisciplinar|Archives of Environmental Contamination and Toxicology (Print)|A1|2008
0932-0067|Interdisciplinar|Archives of Gynecology and Obstetrics (Print)|B1|2008
0739-4462|Interdisciplinar|Archives of Insect Biochemistry and Physiology|B1|2008
0302-8933|Interdisciplinar|Archives of Microbiology|A2|2008
0003-9942|Interdisciplinar|Archives of Neurology (Chicago)|A1|2008
0003-9969|Interdisciplinar|Archives of Oral Biology|A2|2008
1517-784X|Interdisciplinar|Archives of Veterinary Science|B3|2008
0304-8608|Interdisciplinar|Archives of Virology|B1|2008
0004-0592|Interdisciplinar|Archivos de Zootecnia|B2|2008
1518-4641|Interdisciplinar|Areia & Brita|B5|2008
1806-5627|Interdisciplinar|Argumentos (Unimontes)|B2|2008
1139-3327|Interdisciplinar|Argumentos de Razón Técnica|B2|2008
0103-9253|Interdisciplinar|Ariús: Revista de Ciências Humanas e Artes (UFCG)|B3|2008
1424-6376|Interdisciplinar|ARKIVOC|A2|2008
0338-3520|Interdisciplinar|Armées d'Aujourd'hui|B2|2008
1518-238X|Interdisciplinar|Arqtexto (UFRGS)|B3|2008
0104-1908|Interdisciplinar|Arquitetura & Construcao|B4|2008
1808-5741|Interdisciplinar|Arquiteturarevista (UNISINOS)|B1|2008
1819-2939|Interdisciplinar|Arquitextos (Lima)|B4|2008
1809-6298|Interdisciplinar|Arquitextos (São Paulo)|B2|2008
0102-0935|Interdisciplinar|Arquivo Brasileiro de Medicina Veterinária e Zootecnia|B1|2008
1678-4162|Interdisciplinar|Arquivo Brasileiro de Medicina Veterinária e Zootecnia (Online)|B1|2008
0066-782X|Interdisciplinar|Arquivos Brasileiros de Cardiologia (Impresso)|B1|2008
0004-2730|Interdisciplinar|Arquivos Brasileiros de Endocrinologia e Metabologia (Impresso)|B1|2008
0103-5355|Interdisciplinar|Arquivos Brasileiros de Neurocirurgia|B2|2008
0004-2749|Interdisciplinar|Arquivos Brasileiros de Oftalmologia (Impresso)|B2|2008
1807-4456|Interdisciplinar|Arquivos Brasileiros de Paralisia Cerebral|B2|2008
0100-8692|Interdisciplinar|Arquivos Brasileiros de Psicologia (Rio de Janeiro. 1979, Cessou em 2002)|B2|2008
1809-5267|Interdisciplinar|Arquivos Brasileiros de Psicologia (UFRJ. 2003)|B2|2008
1518-3327|Interdisciplinar|Arquivos Brasileiros de Psiquiatria, Neurologia e Medicina Legal (1999)|B2|2008
0004-2773|Interdisciplinar|Arquivos Catarinenses de Medicina (Impresso)|B3|2008
1806-4280|Interdisciplinar|Arquivos Catarinenses de Medicina (Online)|B3|2008

1414-7149|Interdisciplinar|Arquivos da APADEC (Cessou em 2005)|B5|2008
1980-959X||Arquivos do Mudi|B5|2008

0365-0979|Interdisciplinar|Arquivos de Biologia e Tecnologia (Cessou em 1997)|B3|2008

1807-1325|Interdisciplinar|Arquivos de Ciências da Saúde (FAMERP)|B4|2008
0374-5686|Interdisciplinar|Arquivos de Ciências do Mar|B3|2008
1415-8167|Interdisciplinar|Arquivos de Ciências Veterinárias e Zoologia da UNIPAR (Impresso)|B4|2008
1516-814X|Interdisciplinar|Arquivos de Direito|B4|2008
1678-4219|Interdisciplinar|Arquivos de Gastroenterologia (Online)|B3|2008
0004-282X|Interdisciplinar|Arquivos de Neuro-Psiquiatria (Impresso)|B1|2008
0020-3653|Interdisciplinar|Arquivos do Instituto Biológico (Impresso)|B2|2008
1808-1657|Interdisciplinar|Arquivos do Instituto Biológico (Online)|B2|2008
0365-4508|Interdisciplinar|Arquivos do Museu Nacional|B2|2008

1808-0901|Interdisciplinar|Arquivos em Movimento (UFRJ. Impresso)|B3|2008
1809-9556||Arquivos em Movimento (Online)|B3|2008

1516-0939|Interdisciplinar|Arquivos em Odontologia (UFMG)|B3|2008
1516-8018|Interdisciplinar|Arquivos Médicos da Universidade Luterana do Brasil|B4|2008

0100-3992|Interdisciplinar|Arquivos Médicos do ABC (Cessou em 2007)|B4|2008
1983-2451||Arquivos Brasileiros de Ciências da Saúde|B4|2008

0101-6067|Interdisciplinar|Arquivos Médicos dos Hospitais e da Faculdade de Ciências Médicas da Santa Casa de São Paulo (Impresso)|B4|2008
1678-5320|Interdisciplinar|ARS (São Paulo)|B1|2008
0102-6380|Interdisciplinar|ARS Veterinária (Impresso)|B3|2008
0122-1744|Interdisciplinar|Art Nexus Internacional|B4|2008
1646-3463|Interdisciplinar|ARTCIENCIA.COM|B2|2008
1516-8603|Interdisciplinar|ArtCultura (UFU)|B1|2008
0103-8508|Interdisciplinar|Arte e Cultura da America Latina|B5|2008
1413-005X|Interdisciplinar|Arte e Educação em Revista|B4|2008
1809-8274|Interdisciplinar|Artefilosofia (UFOP)|B2|2008
0004-3591|Interdisciplinar|Arthritis and Rheumatism|A1|2008
1872-8855|Interdisciplinar|Arthropod-Plant Interactions|B4|2008

1614-8339|Interdisciplinar|Ärztezeitschrift für Naturheilverfahren und Regulationsmedizin (Cessou em 2006)|B4|2008
1863-8678||Komplementäre und Integrative Medizin|B4|2008

0210-4466|Interdisciplinar|Asclepio (Madrid)|B3|2008
1513-7368|Interdisciplinar|Asian Pacific Journal of Cancer Prevention|B4|2008
0001-253X|Interdisciplinar|ASLIB Proceedings|B1|2008
1517-7432|Interdisciplinar|Assentamentos Humanos (Marília)|B4|2008
