issn|area|titulo|estrato|classificacao
0001-6268|INTERDISCIPLINAR|Acta Neurochirurgica|B2|Atualizada em 2012
0001-6314|INTERDISCIPLINAR|Acta Neurologica Scandinavica|B1|Atualizada em 2012
0924-2708|INTERDISCIPLINAR|Acta Neuropsychiatrica|B1|Atualizada em 2012
0326-4815|INTERDISCIPLINAR|Acta Odontológica Latinoamericana|B3|Atualizada em 2012
0001-6365|INTERDISCIPLINAR|Acta Odontológica Venezolana|B2|Atualizada em 2012
1146-609X|INTERDISCIPLINAR|Acta Oecologica (Montrouge)|B1|Atualizada em 2012
1755-375X|INTERDISCIPLINAR|Acta Ophthalmologica (2008. Print)|A2|Atualizada em 2012
1809-8770|INTERDISCIPLINAR|Acta ORL|B4|Atualizada em 2012
1413-7852|INTERDISCIPLINAR|Acta Ortopédica Brasileira|B1|Atualizada em 2012
0001-6489|INTERDISCIPLINAR|Acta Oto-Laryngologica|B1|Atualizada em 2012
0803-5253|INTERDISCIPLINAR|Acta Paediatrica (Oslo)|A2|Atualizada em 2012
1230-2821|INTERDISCIPLINAR|Acta Parasitologica|B1|Atualizada em 2012
0103-2100|INTERDISCIPLINAR|Acta Paulista de Enfermagem (UNIFESP. Impresso)|A2|Atualizada em 2012
1219-7580|INTERDISCIPLINAR|Acta Physica Hungarica. Heavy Ion Physics|B3|Atualizada em 2012
0137-5881|INTERDISCIPLINAR|Acta Physiologiae Plantarum|B1|Atualizada em 2012
1748-1708|INTERDISCIPLINAR|Acta Physiologica|A2|Atualizada em 2012
0065-1583|INTERDISCIPLINAR|Acta Protozoologica (Druk)|B1|Atualizada em 2012
0001-690X|INTERDISCIPLINAR|Acta Psychiatrica Scandinavica|A2|Atualizada em 2012
0303-464X|INTERDISCIPLINAR|Acta Reumatológica Portuguesa|B1|Atualizada em 2012
1517-4492|INTERDISCIPLINAR|Acta Scientiae (ULBRA)|B2|Atualizada em 2012
1679-9216|INTERDISCIPLINAR|Acta Scientiae Veterinariae|B1|Atualizada em 2012
1678-0345|INTERDISCIPLINAR|Acta Scientiae Veterinariae (UFRGS. Impresso)|B1|Atualizada em 2012
1679-9275|INTERDISCIPLINAR|Acta Scientiarum. Agronomy|A2|Atualizada em 2012
1807-8621|INTERDISCIPLINAR|Acta Scientiarum. Agronomy|B1|Atualizada em 2012
1807-8672|INTERDISCIPLINAR|Acta Scientiarum. Animal Sciences|B1|Atualizada em 2012
1679-9283|INTERDISCIPLINAR|Acta Scientiarum. Biological Sciences|B1|Atualizada em 2012
1807-863X|INTERDISCIPLINAR|Acta Scientiarum. Biological Sciences|B2|Atualizada em 2012
2178-5198|INTERDISCIPLINAR|Acta Scientiarum. Education|A2|Atualizada em 2012
1679-9291|INTERDISCIPLINAR|Acta Scientiarum. Health Sciences|B1|Atualizada em 2012
1807-8648|INTERDISCIPLINAR|Acta Scientiarum. Health Sciences|B2|Atualizada em 2012
1807-8656|INTERDISCIPLINAR|Acta Scientiarum. Human and Social Sciences|B1|Atualizada em 2012
1679-7361|INTERDISCIPLINAR|Acta Scientiarum. Human and Social Sciences|B1|Atualizada em 2012
1983-4683|INTERDISCIPLINAR|Acta Scientiarum. Language and Culture|A2|Atualizada em 2012
1806-2563|INTERDISCIPLINAR|Acta Scientiarum. Technology|B1|Atualizada em 2012
1807-8664|INTERDISCIPLINAR|Acta Scientiarum. Technology|B1|Atualizada em 2012
0102-4264|INTERDISCIPLINAR|Acta Semiótica et Linguística|B2|Atualizada em 2012
1121-2098|INTERDISCIPLINAR|Acta Technologiae et Legis Medicamenti|B4|Atualizada em 2012
1982-422X|INTERDISCIPLINAR|Acta Tecnológica|B5|Atualizada em 2012
0327-9286|INTERDISCIPLINAR|Acta Toxicológica Argentina|B2|Atualizada em 2012
0001-706X|INTERDISCIPLINAR|Acta Tropica|A1|Atualizada em 2012
1981-5484|INTERDISCIPLINAR|Acta Veterinaria Brasilica (UFERSA)|B4|Atualizada em 2012
0001-7272|INTERDISCIPLINAR|Acta Zoologica (Stockholm)|B1|Atualizada em 2012
