ISSN|Área|Titulo|Estrato|Ano Base
1370-4788|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Annales de l'Économie Publique, Sociale et Coopérative (Ed. Multilingue)|B4|2008
0246-0203|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Annales de l'I.H.P. Probabilités et Statistiques|A2|2008
0373-0956|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Annales de l'Institut Fourier|A2|2008
|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Annales de l'Institut Henri Poincaré, Analyse non Linéaire.|A1|2008
1778-7017|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Annales de l'Institut Henri Poincaré. B, Probabilités et Statistiques|A2|2008
1626-1607|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Annales de l'ISUP|B5|2008
0240-2963|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Annales de la Faculté des Sciences de Toulouse|B2|2008
1424-0637|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Annales Henri Poincaré (Print)|A2|2008
0066-2216|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Annales Polonici Mathematici|B3|2008
0012-9593|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Annales Scientifiques de l'Ecole Normale Supérieure|A1|2008
0391-173X|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Annali della Scuola Normale Superiore di Pisa. Classe di Scienze (Testo Stampato)|A2|2008
0373-3114|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Annali di Matematica Pura ed Applicata|B1|2008
0218-0006|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Annals of Combinatorics (Print)|B1|2008
0232-704X|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Annals of Global Analysis and Geometry|B1|2008
0003-486X|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Annals of Mathematics|A1|2008
0306-4549|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Annals of Nuclear Energy|B1|2008
0254-5330|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Annals of Operation Research|B2|2008
0003-4916|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Annals of Physics (Print)|B1|2008
0091-1798|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Annals of Probability|A1|2008
0168-0072|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Annals of Pure and Applied Logic (Print)|B1|2008
0090-5364|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Annals of Statistics|A1|2008
1068-9265|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Annals of Surgical Oncology|A1|2008
0020-3157|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Annals of the Institute of Statistical Mathematics|B1|2008
0938-1279|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Applicable Algebra in Engineering, Communication and Computing|B4|2008
1432-0622|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Applicable algebra in engineering, communication and computing (Internet)|B4|2008
0003-6811|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Applicable Analysis|B5|2008
1063-5203|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Applied and Computational Harmonic Analysis (Print)|A1|2008
0927-2852|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Applied Categorical Structures|B2|2008
0003-6846|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Applied Economics (Print)|B1|2008
1350-4851|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Applied Economics Letters (Print)|B3|2008
1989-4147|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Applied General Topology (Online)|B5|2008
1466-4313|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Applied Mathematical Finance (Online)|B1|2008
1350-486X|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Applied Mathematical Finance (Print)|B1|2008
0307-904X|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Applied Mathematical Modelling|B4|2008
0066-5452|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Applied Mathematical Sciences|B5|2008
0095-4616|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Applied Mathematics & Optimization|B2|2008
0096-3003|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Applied Mathematics and Computation|B2|2008
0253-4827|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Applied Mathematics and Mechanics|B3|2008
